dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750046,24.729000,0.000200,0.020000,1.000000,50.000000,0.000001
0.020000,1.750825,24.729000,0.000980,0.038976,0.948776,-2.561213,0.000018
0.020000,1.752579,24.729000,0.002733,0.087696,2.436012,74.361796,0.000055
0.020000,1.755697,24.729000,0.005852,0.155906,3.410534,48.726102,0.000122
0.020000,1.760569,24.729001,0.010724,0.243611,4.385236,48.735106,0.000226
0.020000,1.767391,24.729003,0.017545,0.341071,4.872976,24.387012,0.000371
0.020000,1.776162,24.729007,0.026316,0.438545,4.873729,0.037662,0.000557
0.020000,1.786883,24.729014,0.037037,0.536039,4.874698,0.048415,0.000785
0.020000,1.799554,24.729026,0.049708,0.633557,4.875881,0.059166,0.001052
0.020000,1.814176,24.729044,0.064330,0.731102,4.877279,0.069910,0.001360
0.020000,1.830749,24.729069,0.080904,0.828680,4.878892,0.080649,0.001707
0.020000,1.849275,24.729104,0.099430,0.926295,4.880720,0.091379,0.002092
0.020000,1.869754,24.729152,0.119909,1.023950,4.882762,0.102101,0.002516
0.020000,1.892187,24.729213,0.142342,1.121650,4.885018,0.112812,0.002978
0.020000,1.916575,24.729292,0.166730,1.219400,4.887488,0.123513,0.003476
0.020000,1.942919,24.729391,0.193074,1.317203,4.890172,0.134201,0.004009
0.020000,1.971220,24.729512,0.221375,1.415065,4.893070,0.144876,0.004578
0.020000,2.001479,24.729660,0.251635,1.512988,4.896180,0.155534,0.005180
0.020000,2.033698,24.729837,0.283854,1.610979,4.899504,0.166179,0.005815
0.020000,2.067878,24.730047,0.318035,1.709039,4.903040,0.176803,0.006482
0.020000,2.104021,24.730294,0.354179,1.807175,4.906788,0.187408,0.007179
0.020000,2.142128,24.730581,0.392286,1.905390,4.910748,0.197996,0.007905
0.020000,2.182200,24.730913,0.432360,2.003688,4.914919,0.208556,0.008658
0.020000,2.224240,24.731294,0.474402,2.102074,4.919301,0.219099,0.009438
0.020000,2.268249,24.731727,0.518413,2.200552,4.923893,0.229613,0.010243
0.020000,2.314229,24.732217,0.564395,2.299126,4.928696,0.240104,0.011071
0.020000,2.362182,24.732768,0.612351,2.397800,4.933707,0.250567,0.011920
0.020000,2.412109,24.733385,0.662283,2.496579,4.938927,0.261000,0.012790
0.020000,2.464014,24.734072,0.714192,2.595466,4.944355,0.271407,0.013677
0.020000,2.517898,24.734834,0.768081,2.694466,4.949991,0.281784,0.014581
0.020000,2.573763,24.735674,0.823953,2.793582,4.955833,0.292129,0.015499
0.020000,2.631612,24.736598,0.881809,2.892820,4.961882,0.302443,0.016429
0.020000,2.691448,24.737609,0.941653,2.992183,4.968137,0.312729,0.017370
0.020000,2.753271,24.738713,1.003487,3.091675,4.974596,0.322982,0.018319
0.020000,2.817086,24.739912,1.067313,3.191300,4.981260,0.333204,0.019275
0.020000,2.882894,24.741213,1.133134,3.291063,4.988128,0.343398,0.020234
0.020000,2.950699,24.742617,1.200953,3.390967,4.995200,0.353561,0.021194
