dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750048,22.271000,0.000200,0.020000,1.000000,50.000000,0.000001
0.020000,1.750869,22.271000,0.001020,0.041024,1.051224,2.561213,0.000018
0.020000,1.752715,22.271000,0.002867,0.092304,2.563988,75.638205,0.000055
0.020000,1.755996,22.271000,0.006148,0.164094,3.589466,51.273898,0.000122
0.020000,1.761124,22.271001,0.011276,0.256389,4.614764,51.264894,0.000226
0.020000,1.768303,22.271003,0.018455,0.358929,5.127024,25.612987,0.000371
0.020000,1.777532,22.271008,0.027684,0.461455,5.126271,-0.037661,0.000557
0.020000,1.788811,22.271015,0.038963,0.563961,5.125302,-0.048417,0.000785
0.020000,1.802140,22.271027,0.052292,0.666443,5.124119,-0.059167,0.001052
0.020000,1.817518,22.271046,0.067670,0.768898,5.122721,-0.069912,0.001360
0.020000,1.834944,22.271073,0.085096,0.871320,5.121108,-0.080650,0.001707
0.020000,1.854418,22.271110,0.104570,0.973705,5.119280,-0.091381,0.002092
0.020000,1.875939,22.271159,0.126091,1.076050,5.117238,-0.102102,0.002516
0.020000,1.899506,22.271224,0.149658,1.178350,5.114982,-0.112814,0.002978
0.020000,1.925118,22.271307,0.175270,1.280600,5.112512,-0.123515,0.003476
0.020000,1.952774,22.271410,0.202926,1.382797,5.109828,-0.134203,0.004009
0.020000,1.982472,22.271538,0.232625,1.484935,5.106930,-0.144877,0.004578
0.020000,2.014212,22.271693,0.264365,1.587012,5.103819,-0.155538,0.005180
0.020000,2.047992,22.271878,0.298146,1.689021,5.100496,-0.166179,0.005815
0.020000,2.083811,22.272099,0.333965,1.790961,5.096960,-0.176805,0.006482
0.020000,2.121666,22.272357,0.371821,1.892825,5.093211,-0.187412,0.007179
0.020000,2.161557,22.272658,0.411714,1.994610,5.089251,-0.197995,0.007905
0.020000,2.203482,22.273005,0.453640,2.096311,5.085080,-0.208561,0.008658
0.020000,2.247439,22.273403,0.497598,2.197925,5.080698,-0.219098,0.009438
0.020000,2.293425,22.273856,0.543587,2.299448,5.076106,-0.229616,0.010243
0.020000,2.341440,22.274368,0.591605,2.400874,5.071304,-0.240104,0.011071
0.020000,2.391481,22.274943,0.641649,2.502199,5.066292,-0.250567,0.011920
0.020000,2.443545,22.275586,0.693717,2.603421,5.061072,-0.261003,0.012790
0.020000,2.497631,22.276302,0.747808,2.704534,5.055644,-0.271407,0.013677
0.020000,2.553736,22.277095,0.803919,2.805534,5.050009,-0.281783,0.014581
0.020000,2.611858,22.277969,0.862047,2.906417,5.044166,-0.292129,0.015499
0.020000,2.671994,22.278929,0.922191,3.007180,5.038117,-0.302444,0.016429
0.020000,2.734142,22.279980,0.984347,3.107817,5.031863,-0.312727,0.017370
0.020000,2.798298,22.281125,1.048513,3.208325,5.025403,-0.322980,0.018319
0.020000,2.864460,22.282369,1.114687,3.308700,5.018739,-0.333202,0.019275
0.020000,2.932626,22.283716,1.182866,3.408937,5.011871,-0.343395,0.020234
0.020000,3.002791,22.285170,1.253047,3.509033,5.004800,-0.353560,0.021194
0.020000,3.074954,22.286734,1.325226,3.608984,4.997526,-0.363695,0.022154
0.020000,3.149111,22.288413,1.399402,3.708785,4.990050,-0.373806,0.023111
0.020000,3.225258,22.290209,1.475571,3.808432,4.982372,-0.383894,0.024062
0.020000,3.303393,22.292127,1.553729,3.907922,4.974493,-0.393961,0.025004
0.020000,3.383512,22.294168,1.633874,4.007250,4.966413,-0.404012,0.025936
0.020000,3.465612,22.296336,1.716002,4.106413,4.958132,-0.414047,0.026854
0.020000,3.549688,22.298633,1.800111,4.205406,4.949650,-0.424073,0.027756
0.020000,3.635739,22.301060,1.886195,4.304225,4.940968,-0.434095,0.028638
0.020000,3.723759,22.303620,1.974252,4.402867,4.932086,-0.444118,0.029499
0.020000,3.813745,22.306313,2.064279,4.501327,4.923003,-0.454145,0.030334
0.020000,3.905694,22.309140,2.156271,4.599601,4.913719,-0.464186,0.031141
0.020000,3.999601,22.312102,2.250225,4.697686,4.904234,-0.474248,0.031917
0.020000,4.095462,22.315199,2.346136,4.795577,4.894548,-0.484337,0.032659
0.020000,4.193274,22.318430,2.444002,4.893270,4.884658,-0.494460,0.033363
0.020000,4.293033,22.321793,2.543817,4.990762,4.874566,-0.504629,0.034026
0.020000,4.394734,22.325286,2.645578,5.088047,4.864269,-0.514850,0.034645
0.020000,4.498373,22.328909,2.749280,5.185122,4.853766,-0.525135,0.035217
0.020000,4.603946,22.332656,2.854920,5.281983,4.843056,-0.535494,0.035737
0.020000,4.711449,22.336525,2.962492,5.378626,4.832138,-0.545934,0.036203
0.020000,4.820877,22.340512,3.071993,5.475046,4.821008,-0.556472,0.036611
0.020000,4.932227,22.344610,3.183418,5.571240,4.809666,-0.567113,0.036956
0.020000,5.045493,22.348814,3.296762,5.667202,4.798108,-0.577873,0.037236
0.020000,5.160671,22.353118,3.412021,5.762928,4.786333,-0.588761,0.037447
0.020000,5.277757,22.357513,3.529189,5.858415,4.774337,-0.599789,0.037584
0.020000,5.396746,22.361992,3.648262,5.953658,4.762118,-0.610967,0.037643
0.020000,5.517633,22.366544,3.769235,6.048651,4.749672,-0.622307,0.037621
0.020000,5.640414,22.371160,3.892103,6.143391,4.736995,-0.633820,0.037514
0.020000,5.765084,22.375827,4.016861,6.237873,4.724085,-0.645514,0.037316
0.020000,5.891638,22.380535,4.143502,6.332091,4.710937,-0.657399,0.037025
0.020000,6.020072,22.385268,4.272023,6.426042,4.697548,-0.669483,0.036635
0.020000,6.150380,22.390013,4.402418,6.519721,4.683912,-0.681770,0.036142
0.020000,6.282558,22.394754,4.534680,6.613121,4.670027,-0.694267,0.035542
0.020000,6.416599,22.399473,4.668805,6.706239,4.655887,-0.706976,0.034830
0.020000,6.552500,22.404153,4.804786,6.799069,4.641489,-0.719895,0.034001
0.020000,6.690255,22.408775,4.942618,6.891605,4.626829,-0.733024,0.033051
0.020000,6.829858,22.413316,5.082295,6.983843,4.611902,-0.746355,0.031974
0.020000,6.971304,22.417756,5.223811,7.075777,4.596704,-0.759880,0.030766
0.020000,7.114587,22.422071,5.367159,7.167402,4.581233,-0.773582,0.029422
0.020000,7.259701,22.426236,5.512333,7.258712,4.565484,-0.787447,0.027937
0.020000,7.406641,22.430223,5.659327,7.349701,4.549455,-0.801443,0.026305
0.020000,7.555400,22.434006,5.808134,7.440364,4.533144,-0.815545,0.024520
0.020000,7.705972,22.437554,5.958748,7.530695,4.516550,-0.829713,0.022579
0.020000,7.858351,22.440837,6.111162,7.620688,4.499672,-0.843898,0.020475
0.020000,8.012332,22.443817,6.265172,7.700522,3.991685,-25.399349,0.018205
0.020000,8.167519,22.446456,6.420381,7.760430,2.995409,-49.813794,0.015771
0.020000,8.323512,22.448715,6.576391,7.800499,2.003453,-49.597811,0.013175
0.020000,8.479918,22.450563,6.732807,7.820817,1.015927,-49.376291,0.010422
0.020000,8.636341,22.451968,6.889237,7.821476,0.032916,-49.150559,0.007517
0.020000,8.792585,22.452906,7.045483,7.812325,-0.457540,-24.522790,0.004463
0.020000,8.948647,22.453354,7.201546,7.803160,-0.458272,-0.036581,0.001260
0.020000,9.104527,22.453291,7.357426,7.793980,-0.458967,-0.034756,6.281092
0.020000,9.260221,22.452695,7.513122,7.784788,-0.459615,-0.032409,6.277590
0.020000,9.415729,22.451543,7.668633,7.775584,-0.460205,-0.029504,6.273938
0.020000,9.571046,22.449813,7.823961,7.766369,-0.460726,-0.026019,6.270136
0.020000,9.726172,22.447484,7.979104,7.757146,-0.461164,-0.021925,6.266184
