dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750177,24.729000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,1.750978,24.729000,0.001000,0.040000,1.000000,0.000000,0.000000
0.020000,1.752778,24.729000,0.002800,0.090000,2.500000,75.000000,0.000000
0.020000,1.755977,24.729000,0.006000,0.160000,3.500000,50.000000,0.000000
0.020000,1.760978,24.729000,0.011000,0.250000,4.500000,50.000000,0.000000
0.020000,1.767978,24.729000,0.018000,0.350000,5.000000,25.000000,0.000000
0.020000,1.776978,24.729000,0.027000,0.450000,5.000000,-0.000000,0.000000
0.020000,1.787978,24.729000,0.038000,0.550000,5.000000,0.000000,0.000000
0.020000,1.800978,24.729000,0.051000,0.650000,5.000000,0.000000,0.000000
0.020000,1.815978,24.729000,0.066000,0.750000,5.000000,-0.000000,0.000000
0.020000,1.832977,24.729000,0.083000,0.850000,5.000000,-0.000000,0.000000
0.020000,1.851977,24.729000,0.102000,0.950000,5.000000,0.000000,0.000000
0.020000,1.872977,24.729000,0.123000,1.050000,5.000000,0.000000,0.000000
0.020000,1.895977,24.729000,0.146000,1.150000,5.000000,0.000000,0.000000
0.020000,1.920977,24.729000,0.171000,1.250000,5.000000,0.000000,0.000000
0.020000,1.947978,24.729000,0.198000,1.350000,5.000000,-0.000000,0.000000
0.020000,1.976978,24.729000,0.227000,1.450000,5.000000,-0.000000,0.000000
0.020000,2.007978,24.729000,0.258000,1.550000,5.000000,0.000000,0.000000
0.020000,2.040978,24.729000,0.291000,1.650000,5.000000,-0.000000,0.000000
0.020000,2.075977,24.729000,0.326000,1.750000,5.000000,-0.000000,0.000000
0.020000,2.112977,24.729000,0.363000,1.850000,5.000000,0.000000,0.000000
0.020000,2.151977,24.729000,0.402000,1.950000,5.000000,0.000000,0.000000
0.020000,2.192977,24.729000,0.443000,2.050000,5.000000,0.000000,0.000000
0.020000,2.235977,24.729000,0.486000,2.150000,5.000000,0.000000,0.000000
0.020000,2.280977,24.729000,0.531000,2.250000,5.000000,-0.000000,0.000000
0.020000,2.327977,24.729000,0.578000,2.350000,5.000000,0.000000,0.000000
0.020000,2.376977,24.729000,0.627000,2.450000,5.000000,-0.000000,0.000000
0.020000,2.427977,24.729000,0.678000,2.550000,5.000000,0.000000,0.000000
0.020000,2.480977,24.729000,0.731000,2.650000,5.000000,0.000000,0.000000
0.020000,2.535977,24.729000,0.786000,2.750000,5.000000,0.000000,0.000000
0.020000,2.592977,24.729000,0.843000,2.850000,5.000000,0.000000,0.000000
0.020000,2.651977,24.729000,0.902000,2.950000,5.000000,0.000000,0.000000
0.020000,2.712977,24.729000,0.963000,3.050000,5.000000,0.000000,0.000000
0.020000,2.775977,24.729000,1.026000,3.150000,5.000000,-0.000000,0.000000
0.020000,2.840977,24.729000,1.091000,3.250000,5.000000,0.000000,0.000000
0.020000,2.907977,24.729000,1.158000,3.350000,5.000000,0.000000,0.000000
0.020000,2.976977,24.729000,1.227000,3.450000,5.000000,0.000000,0.000000
0.020000,3.047977,24.729000,1.298000,3.550000,5.000000,-0.000000,0.000000
0.020000,3.120978,24.729000,1.371000,3.650000,5.000000,0.000000,0.000000
0.020000,3.195978,24.729000,1.446000,3.750000,5.000000,0.000000,0.000000
0.020000,3.272978,24.729000,1.523000,3.850000,5.000000,0.000000,0.000000
0.020000,3.351978,24.729000,1.602000,3.950000,5.000000,-0.000000,0.000000
0.020000,3.432978,24.729000,1.683000,4.050000,5.000000,0.000000,0.000000
