dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750177,23.500000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,1.750978,23.500000,0.001000,0.060000,2.000000,50.000000,0.000000
0.020000,1.752778,23.500000,0.002800,0.120000,3.000000,50.000000,0.000000
0.020000,1.755977,23.500000,0.006000,0.200000,4.000000,50.000000,0.000000
0.020000,1.760978,23.500000,0.011000,0.300000,5.000000,50.000000,0.000000
0.020000,1.767978,23.500000,0.018000,0.400000,5.000000,0.000000,0.000000
0.020000,1.776978,23.500000,0.027000,0.500000,5.000000,-0.000000,0.000000
0.020000,1.787978,23.500000,0.038000,0.600000,5.000000,0.000000,0.000000
0.020000,1.800978,23.500000,0.051000,0.700000,5.000000,0.000000,0.000000
0.020000,1.815978,23.500000,0.066000,0.800000,5.000000,0.000000,0.000000
0.020000,1.832977,23.500000,0.083000,0.900000,5.000000,-0.000000,0.000000
0.020000,1.851977,23.500000,0.102000,1.000000,5.000000,0.000000,0.000000
0.020000,1.872977,23.500000,0.123000,1.100000,5.000000,0.000000,0.000000
0.020000,1.895977,23.500000,0.146000,1.200000,5.000000,-0.000000,0.000000
0.020000,1.920977,23.500000,0.171000,1.300000,5.000000,0.000000,0.000000
0.020000,1.947978,23.500000,0.198000,1.400000,5.000000,-0.000000,0.000000
0.020000,1.976978,23.500000,0.227000,1.500000,5.000000,0.000000,0.000000
0.020000,2.007978,23.500000,0.258000,1.600000,5.000000,0.000000,0.000000
0.020000,2.040978,23.500000,0.291000,1.700000,5.000000,-0.000000,0.000000
0.020000,2.075977,23.500000,0.326000,1.800000,5.000000,0.000000,0.000000
0.020000,2.112977,23.500000,0.363000,1.900000,5.000000,-0.000000,0.000000
0.020000,2.151977,23.500000,0.402000,2.000000,5.000000,0.000000,0.000000
0.020000,2.192977,23.500000,0.443000,2.100000,5.000000,0.000000,0.000000
0.020000,2.235977,23.500000,0.486000,2.200000,5.000000,0.000000,0.000000
0.020000,2.280977,23.500000,0.531000,2.300000,5.000000,-0.000000,0.000000
0.020000,2.327977,23.500000,0.578000,2.400000,5.000000,0.000000,0.000000
0.020000,2.376977,23.500000,0.627000,2.500000,5.000000,0.000000,0.000000
0.020000,2.427977,23.500000,0.678000,2.600000,5.000000,0.000000,0.000000
0.020000,2.480977,23.500000,0.731000,2.700000,5.000000,0.000000,0.000000
0.020000,2.535977,23.500000,0.786000,2.800000,5.000000,-0.000000,0.000000
0.020000,2.592977,23.500000,0.843000,2.900000,5.000000,0.000000,0.000000
0.020000,2.651977,23.500000,0.902000,3.000000,5.000000,0.000000,0.000000
0.020000,2.712977,23.500000,0.963000,3.100000,5.000000,0.000000,0.000000
0.020000,2.775977,23.500000,1.026000,3.200000,5.000000,0.000000,0.000000
0.020000,2.840977,23.500000,1.091000,3.300000,5.000000,-0.000000,0.000000
0.020000,2.907977,23.500000,1.158000,3.400000,5.000000,0.000000,0.000000
