dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750047,23.500000,0.000200,0.020000,1.000000,50.000000,0.000001
0.020000,1.750847,23.500000,0.001000,0.060000,2.000000,50.000000,0.000018
0.020000,1.752647,23.500000,0.002800,0.120000,3.000000,50.000000,0.000055
0.020000,1.755847,23.500000,0.006000,0.200000,4.000000,50.000000,0.000122
0.020000,1.760847,23.500001,0.011000,0.300000,5.000000,50.000000,0.000226
0.020000,1.767847,23.500003,0.018000,0.400000,5.000000,0.000000,0.000371
0.020000,1.776847,23.500007,0.027000,0.500000,5.000000,-0.000000,0.000557
0.020000,1.787847,23.500015,0.038000,0.600000,5.000000,0.000000,0.000785
0.020000,1.800847,23.500027,0.051000,0.700000,5.000000,0.000000,0.001052
0.020000,1.815847,23.500045,0.066000,0.800000,5.000000,0.000000,0.001360
0.020000,1.832847,23.500071,0.083000,0.900000,5.000000,-0.000000,0.001707
0.020000,1.851847,23.500107,0.102000,1.000000,5.000000,0.000000,0.002092
0.020000,1.872847,23.500155,0.123000,1.100000,5.000000,0.000000,0.002516
0.020000,1.895847,23.500219,0.146000,1.200000,5.000000,-0.000000,0.002978
0.020000,1.920846,23.500299,0.171000,1.300000,5.000000,0.000000,0.003476
0.020000,1.947846,23.500400,0.198000,1.400000,5.000000,-0.000000,0.004009
0.020000,1.976846,23.500525,0.227000,1.500000,5.000000,0.000000,0.004578
0.020000,2.007846,23.500676,0.258000,1.600000,5.000000,0.000000,0.005180
0.020000,2.040845,23.500858,0.291000,1.700000,5.000000,-0.000000,0.005815
0.020000,2.075845,23.501073,0.326000,1.800000,5.000000,0.000000,0.006482
0.020000,2.112844,23.501326,0.363000,1.900000,5.000000,-0.000000,0.007179
0.020000,2.151843,23.501620,0.402000,2.000000,5.000000,0.000000,0.007905
0.020000,2.192841,23.501959,0.443000,2.100000,5.000000,0.000000,0.008658
0.020000,2.235839,23.502348,0.486000,2.200000,5.000000,0.000000,0.009438
0.020000,2.280837,23.502791,0.531000,2.300000,5.000000,-0.000000,0.010243
0.020000,2.327835,23.503292,0.578000,2.400000,5.000000,0.000000,0.011071
0.020000,2.376831,23.503856,0.627000,2.500000,5.000000,0.000000,0.011920
0.020000,2.427827,23.504486,0.678000,2.600000,5.000000,0.000000,0.012790
0.020000,2.480823,23.505187,0.731000,2.700000,5.000000,0.000000,0.013677
0.020000,2.535817,23.505964,0.786000,2.800000,5.000000,-0.000000,0.014581
