dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.839455,18.781531,0.000199,0.019928,0.996380,49.818999,3.010716
0.020000,22.838809,18.781616,0.000851,0.032584,0.632816,-18.178206,3.010835
0.020000,22.837355,18.781807,0.002317,0.073317,2.036662,70.192314,3.011101
0.020000,22.834770,18.782146,0.004924,0.130353,2.851796,40.756690,3.011574
0.020000,22.830730,18.782673,0.008998,0.203706,3.667653,40.792840,3.012313
0.020000,22.825072,18.783405,0.014703,0.285249,4.077152,20.474944,3.013346
0.020000,22.817795,18.784339,0.022041,0.366853,4.080210,0.152910,3.014672
0.020000,22.808895,18.785467,0.031011,0.448537,4.084183,0.198672,3.016291
0.020000,22.798371,18.786782,0.041618,0.530319,4.089103,0.245970,3.018200
0.020000,22.786218,18.788276,0.053862,0.612219,4.095005,0.295125,3.020398
0.020000,22.772433,18.789938,0.067747,0.694258,4.101934,0.346433,3.022883
0.020000,22.757010,18.791755,0.083276,0.776457,4.109938,0.400192,3.025651
0.020000,22.739946,18.793716,0.100453,0.858838,4.119071,0.456661,3.028700
0.020000,22.721234,18.795806,0.119282,0.941426,4.129392,0.516081,3.032026
0.020000,22.700868,18.798010,0.139767,1.024245,4.140966,0.578675,3.035626
0.020000,22.678841,18.800309,0.161913,1.107322,4.153858,0.644620,3.039496
0.020000,22.655146,18.802687,0.185727,1.190685,4.168140,0.714070,3.043631
0.020000,22.629776,18.805124,0.211214,1.274363,4.183882,0.787134,3.048025
0.020000,22.602721,18.807600,0.238382,1.358386,4.201160,0.863880,3.052673
0.020000,22.573973,18.810092,0.267237,1.442787,4.220047,0.944335,3.057569
0.020000,22.543522,18.812577,0.297789,1.527599,4.240616,1.028466,3.062707
0.020000,22.511359,18.815033,0.330047,1.612858,4.262940,1.116201,3.068079
0.020000,22.477472,18.817433,0.364019,1.698600,4.287088,1.207400,3.073676
0.020000,22.441850,18.819752,0.399716,1.784862,4.313126,1.301878,3.079492
0.020000,22.404481,18.821962,0.437149,1.871685,4.341113,1.399385,3.085515
0.020000,22.365354,18.824036,0.476332,1.959107,4.371106,1.499613,3.091738
0.020000,22.324455,18.825945,0.517275,2.047170,4.403150,1.602202,3.098149
