dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.999843,20.000021,0.000199,0.019928,0.996380,49.818999,3.010716
0.020000,22.999053,20.000125,0.000996,0.059783,1.992760,49.818999,3.010835
0.020000,22.997275,20.000358,0.002790,0.119566,2.989140,49.818999,3.011101
0.020000,22.994113,20.000772,0.005978,0.199276,3.985520,49.818999,3.011574
0.020000,22.989173,20.001416,0.010960,0.298914,4.981900,49.818999,3.012313
0.020000,22.982256,20.002312,0.017935,0.398552,4.981900,0.000000,3.013346
0.020000,22.973362,20.003453,0.026902,0.498190,4.981900,0.000000,3.014672
0.020000,22.962488,20.004832,0.037862,0.597828,4.981900,-0.000000,3.016291
0.020000,22.949636,20.006438,0.050815,0.697466,4.981900,0.000000,3.018200
0.020000,22.934801,20.008261,0.065761,0.797104,4.981900,-0.000000,3.020398
0.020000,22.917985,20.010288,0.082700,0.896742,4.981900,0.000000,3.022883
0.020000,22.899184,20.012504,0.101631,0.996380,4.981900,0.000000,3.025651
0.020000,22.878396,20.014893,0.122555,1.096018,4.981900,0.000000,3.028700
0.020000,22.855621,20.017437,0.145471,1.195656,4.981900,-0.000000,3.032026
0.020000,22.830856,20.020116,0.170381,1.295294,4.981900,0.000000,3.035626
0.020000,22.804100,20.022910,0.197283,1.394932,4.981900,0.000000,3.039496
0.020000,22.775349,20.025795,0.226178,1.494570,4.981900,-0.000000,3.043631
0.020000,22.744603,20.028748,0.257066,1.594208,4.981900,0.000000,3.048025
0.020000,22.711859,20.031744,0.289947,1.693846,4.981900,0.000000,3.052673
0.020000,22.677116,20.034756,0.324820,1.793484,4.981900,0.000000,3.057569
0.020000,22.640372,20.037755,0.361686,1.893122,4.981900,-0.000000,3.062707
0.020000,22.601626,20.040713,0.400545,1.992760,4.981900,0.000000,3.068079
0.020000,22.560877,20.043600,0.441396,2.092398,4.981900,-0.000000,3.073676
0.020000,22.518123,20.046383,0.484241,2.192036,4.981900,0.000000,3.079492
0.020000,22.473364,20.049030,0.529078,2.291674,4.981900,-0.000000,3.085515
0.020000,22.426600,20.051509,0.575908,2.391312,4.981900,0.000000,3.091738
0.020000,22.377831,20.053786,0.624730,2.490950,4.981900,-0.000000,3.098149
0.020000,22.327056,20.055825,0.675546,2.590588,4.981900,0.000000,3.104737
0.020000,22.274278,20.057592,0.728354,2.690226,4.981900,0.000000,3.111491
0.020000,22.219497,20.059052,0.783155,2.789864,4.981900,0.000000,3.118398
0.020000,22.162714,20.060168,0.839948,2.889502,4.981900,0.000000,3.125444
0.020000,22.103932,20.060906,0.898735,2.989140,4.981900,-0.000000,3.132617
0.020000,22.043154,20.061230,0.959514,3.088778,4.981900,0.000000,3.139900
0.020000,21.980382,20.061104,1.022286,3.188416,4.981900,-0.000000,3.147280
0.020000,21.915621,20.060493,1.087051,3.288054,4.981900,0.000000,3.154739
0.020000,21.848873,20.059363,1.153808,3.387692,4.981900,-0.000000,3.162263
0.020000,21.780144,20.057681,1.222558,3.487330,4.981900,0.000000,3.169832
0.020000,21.709437,20.055414,1.293301,3.586968,4.981900,0.000000,3.177430
0.020000,21.636759,20.052530,1.366037,3.686606,4.981900,-0.000000,3.185038
0.020000,21.562114,20.049000,1.440765,3.786244,4.981900,0.000000,3.192637
0.020000,21.485508,20.044794,1.517487,3.885882,4.981900,0.000000,3.200207
0.020000,21.406947,20.039885,1.596201,3.985520,4.981900,0.000000,3.207729
0.020000,21.326438,20.034250,1.676907,4.085158,4.981900,-0.000000,3.215182
0.020000,21.244184,20.027880,1.759408,4.164868,3.985520,-49.818999,3.222528
0.020000,21.160589,20.020795,1.843303,4.224651,2.989140,-49.818999,3.229715
0.020000,21.076054,20.013027,1.928195,4.264506,1.992760,-49.818999,3.236695
0.020000,20.990979,20.004620,2.013684,4.284434,0.996380,-49.818999,3.243425
0.020000,20.905959,19.995654,2.099176,4.264726,-0.985414,-99.089713,3.249857
0.020000,20.821586,19.986221,2.184074,4.225090,-1.981794,-49.818999,3.255948
0.020000,20.738256,19.976406,2.267980,4.165526,-2.978174,-49.818999,3.261677
0.020000,20.656362,19.966300,2.350495,4.086035,-3.974554,-49.818999,3.267030
0.020000,20.576295,19.956000,2.431222,3.986616,-4.970934,-49.818999,3.271997
0.020000,20.498252,19.945581,2.509958,3.886978,-4.981900,-0.548284,3.276585
0.020000,20.422229,19.935090,2.586701,3.787340,-4.981900,0.000000,3.280813
0.020000,20.348223,19.924572,2.661452,3.687702,-4.981900,0.000000,3.284701
0.020000,20.276227,19.914066,2.734209,3.588064,-4.981900,-0.000000,3.288266
0.020000,20.206240,19.903608,2.804974,3.488426,-4.981900,0.000000,3.291528
0.020000,20.138255,19.893233,2.873746,3.388788,-4.981900,0.000000,3.294504
0.020000,20.072268,19.882971,2.940526,3.289150,-4.981900,-0.000000,3.297210
0.020000,20.008277,19.872850,3.005312,3.189512,-4.981900,0.000000,3.299663
0.020000,19.946277,19.862896,3.068106,3.089874,-4.981900,-0.000000,3.301880
0.020000,19.886265,19.853132,3.128907,2.990236,-4.981900,0.000000,3.303874
0.020000,19.828238,19.843578,3.187716,2.890598,-4.981900,-0.000000,3.305663
