dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.839442,18.781533,0.000200,0.019985,0.999245,49.962256,3.010696
0.020000,22.838668,18.781635,0.000980,0.039013,0.951411,-2.391714,3.010711
0.020000,22.836928,18.781864,0.002736,0.087770,2.437841,74.321490,3.010747
0.020000,22.833834,18.782271,0.005856,0.156003,3.411636,48.689779,3.010810
0.020000,22.829002,18.782906,0.010729,0.243670,4.383374,48.586881,3.010910
0.020000,22.822241,18.783794,0.017548,0.340966,4.864792,24.070920,3.011052
0.020000,22.813554,18.784934,0.026310,0.438089,4.856173,-0.430978,3.011241
0.020000,22.802945,18.786324,0.037010,0.534991,4.845077,-0.554788,3.011478
0.020000,22.790419,18.787961,0.049642,0.631621,4.831494,-0.679146,3.011769
0.020000,22.775982,18.789843,0.064201,0.727929,4.815410,-0.804218,3.012119
0.020000,22.759642,18.791967,0.080678,0.823865,4.796806,-0.930194,3.012534
0.020000,22.741407,18.794329,0.099066,0.919378,4.775660,-1.057307,3.013021
0.020000,22.721286,18.796925,0.119354,1.014417,4.751943,-1.185812,3.013587
0.020000,22.699288,18.799749,0.141533,1.108930,4.725623,-1.316022,3.014241
0.020000,22.675424,18.802796,0.165590,1.202863,4.696657,-1.448282,3.014993
0.020000,22.649707,18.806058,0.191513,1.296163,4.664997,-1.582999,3.015852
0.020000,22.622149,18.809528,0.219289,1.388774,4.630585,-1.720635,3.016831
0.020000,22.592764,18.813196,0.248902,1.480641,4.593350,-1.861709,3.017940
0.020000,22.561568,18.817054,0.280336,1.571706,4.553214,-2.006815,3.019194
0.020000,22.528575,18.821089,0.313574,1.661907,4.510082,-2.156605,3.020606
0.020000,22.493804,18.825289,0.348597,1.751184,4.463845,-2.311829,3.022192
0.020000,22.457273,18.829639,0.385387,1.839472,4.414380,-2.473286,3.023966
0.020000,22.419001,18.834124,0.423921,1.926703,4.361542,-2.641889,3.025948
0.020000,22.379009,18.838725,0.464177,2.012806,4.305170,-2.818614,3.028154
0.020000,22.337318,18.843424,0.506131,2.097708,4.245079,-3.004541,3.030605
0.020000,22.293954,18.848198,0.549758,2.181329,4.181062,-3.200824,3.033321
0.020000,22.248940,18.853023,0.595030,2.263587,4.112888,-3.408715,3.036324
0.020000,22.202304,18.857873,0.641917,2.344393,4.040297,-3.629541,3.039639
0.020000,22.154073,18.862719,0.690390,2.423653,3.963003,-3.864701,3.043289
0.020000,22.104280,18.867530,0.740416,2.501267,3.880690,-4.115656,3.047303
0.020000,22.052956,18.872271,0.791958,2.577127,3.793012,-4.383893,3.051709
0.020000,22.000136,18.876904,0.844981,2.651119,3.699594,-4.670923,3.056536
0.020000,21.945859,18.881389,0.899443,2.723119,3.600030,-4.978199,3.061818
0.020000,21.890164,18.885682,0.955303,2.792997,3.493888,-5.307076,3.067589
0.020000,21.833096,18.889734,1.012515,2.860611,3.380713,-5.658753,3.073886
0.020000,21.774700,18.893495,1.071031,2.925812,3.260032,-6.034087,3.080748
0.020000,21.715029,18.896909,1.130800,2.988439,3.131361,-6.433549,3.088216
0.020000,21.654137,18.899917,1.191767,3.048324,2.994222,-6.856938,3.096337
0.020000,21.592083,18.902456,1.253872,3.105287,2.848158,-7.303190,3.105156
0.020000,21.528932,18.904459,1.317055,3.159142,2.692757,-7.770026,3.114725
0.020000,21.464753,18.905854,1.381249,3.209696,2.527686,-8.253566,3.125097
0.020000,21.399622,18.906567,1.446384,3.256750,2.352730,-8.747797,3.136330
0.020000,21.333620,18.906517,1.512386,3.300107,2.167852,-9.243930,3.148483
0.020000,21.266835,18.905623,1.579178,3.339572,1.973258,-9.729688,3.161620
0.020000,21.199360,18.903798,1.646677,3.374962,1.769492,-10.188306,3.175807
0.020000,21.131297,18.900953,1.714799,3.406113,1.557541,-10.597559,3.191114
0.020000,21.062754,18.896995,1.783457,3.432892,1.338969,-10.928570,3.207610
0.020000,20.993843,18.891831,1.852561,3.455214,1.116077,-11.144627,3.225369
0.020000,20.924683,18.885365,1.922023,3.473055,0.892075,-11.200075,3.244464
0.020000,20.855543,18.877520,1.991607,3.479207,0.307566,-29.225450,3.264923
0.020000,20.786820,18.868248,2.060951,3.467237,-0.598493,-45.302948,3.286714
0.020000,20.718890,18.857527,2.129722,3.438551,-1.434298,-41.790236,3.309784
0.020000,20.652095,18.845359,2.197617,3.394712,-2.191963,-37.883295,3.334056
0.020000,20.586860,18.831795,2.264247,3.331528,-3.159189,-48.361293,3.359378
0.020000,20.523560,18.816923,2.329271,3.251173,-4.017765,-42.928772,3.385561
0.020000,20.462413,18.800834,2.392499,3.161404,-4.488424,-23.532983,3.412434
0.020000,20.403600,18.783641,2.453774,3.063748,-4.882818,-19.719691,3.439800
0.020000,20.347266,18.765475,2.512964,2.959509,-5.211921,-16.455123,3.467441
0.020000,20.293426,18.746452,2.570066,2.855107,-5.220120,-0.409963,3.495176
0.020000,20.241963,18.726648,2.625208,2.757082,-4.901225,15.944726,3.522881
0.020000,20.192747,18.706129,2.678530,2.666109,-4.548648,17.628891,3.550439
0.020000,20.145649,18.684957,2.730168,2.581902,-4.210350,16.914868,3.577742
0.020000,20.100545,18.663192,2.780249,2.504059,-3.892161,15.909442,3.604686
0.020000,20.057317,18.640890,2.828891,2.432079,-3.598989,14.658609,3.631175
0.020000,20.015859,18.618103,2.876198,2.365387,-3.334637,13.217590,3.657123
0.020000,19.976070,18.594887,2.922266,2.303352,-3.101714,11.646188,3.682455
0.020000,19.937861,18.571293,2.967172,2.245320,-2.901625,10.004431,3.707105
0.020000,19.901153,18.547374,3.010984,2.190627,-2.734654,8.348570,3.731019
0.020000,19.865876,18.523188,3.053757,2.138625,-2.600089,6.728232,3.754154
0.020000,19.831968,18.498788,3.095531,2.088697,-2.496401,5.184404,3.776474
0.020000,19.799377,18.474235,3.136336,2.040268,-2.421430,3.748545,3.797957
0.020000,19.768055,18.449587,3.176193,1.992817,-2.372576,2.442690,3.818586
0.020000,19.737964,18.424908,3.215110,1.945877,-2.346977,1.279962,3.838353
0.020000,19.709068,18.400259,3.253091,1.899044,-2.341659,0.265897,3.857256
0.020000,19.681337,18.375705,3.290130,1.851971,-2.353665,-0.600285,3.875299
0.020000,19.654744,18.351309,3.326218,1.804368,-2.380149,-1.324202,3.892490
0.020000,19.629267,18.327137,3.361338,1.755999,-2.418447,-1.914912,3.908843
0.020000,19.604882,18.303252,3.395471,1.706677,-2.466121,-2.383708,3.924372
0.020000,19.581571,18.279718,3.428596,1.656257,-2.520984,-2.743125,3.939095
0.020000,19.559316,18.256596,3.460689,1.604635,-2.581105,-3.006067,3.953033
0.020000,19.538099,18.233946,3.491724,1.551739,-2.644810,-3.185254,3.966205
