dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.160268,21.218505,0.000200,0.019985,0.999245,49.962256,3.010696
0.020000,23.159456,21.218612,0.001018,0.040926,1.047079,2.391714,3.010711
0.020000,23.157630,21.218852,0.002860,0.092094,2.558385,75.565277,3.010747
0.020000,23.154383,21.219280,0.006135,0.163756,3.583080,51.234732,3.010810
0.020000,23.149308,21.219947,0.011254,0.255952,4.609832,51.337630,3.010910
0.020000,23.142199,21.220881,0.018425,0.358506,5.127659,25.891336,3.011052
0.020000,23.133053,21.222081,0.027649,0.461231,5.136278,0.430976,3.011241
0.020000,23.121864,21.223546,0.038933,0.564179,5.147374,0.554788,3.011478
0.020000,23.108629,21.225276,0.052281,0.667398,5.160957,0.679144,3.011769
0.020000,23.093340,21.227270,0.067699,0.770939,5.177041,0.804214,3.012119
0.020000,23.075989,21.229525,0.085196,0.874852,5.195645,0.930192,3.012534
0.020000,23.056567,21.232041,0.104780,0.979187,5.216791,1.057300,3.013021
0.020000,23.035065,21.234815,0.126460,1.083997,5.240507,1.185808,3.013587
0.020000,23.011472,21.237843,0.150247,1.189334,5.266828,1.316012,3.014241
0.020000,22.985776,21.241124,0.176152,1.295250,5.295793,1.448269,3.014993
0.020000,22.957963,21.244652,0.204188,1.401799,5.327453,1.582984,3.015852
0.020000,22.928019,21.248422,0.234369,1.509036,5.361865,1.720613,3.016831
0.020000,22.895927,21.252429,0.266709,1.617018,5.399099,1.861684,3.017940
0.020000,22.861672,21.256665,0.301225,1.725803,5.439234,2.006778,3.019194
0.020000,22.825235,21.261121,0.337934,1.835450,5.482365,2.156566,3.020606
0.020000,22.786595,21.265788,0.376854,1.946022,5.528601,2.311769,3.022192
0.020000,22.745732,21.270654,0.418006,2.057584,5.578065,2.473219,3.023966
0.020000,22.702623,21.275706,0.461410,2.170202,5.630901,2.641801,3.025948
0.020000,22.657243,21.280927,0.507089,2.283947,5.687271,2.818509,3.028154
0.020000,22.609567,21.286300,0.555067,2.398894,5.747360,3.004407,3.030605
0.020000,22.559567,21.291804,0.605369,2.515122,5.811373,3.200664,3.033321
0.020000,22.507213,21.297416,0.658024,2.632712,5.879543,3.408519,3.036324
0.020000,22.452473,21.303109,0.713059,2.751755,5.952129,3.629301,3.039639
0.020000,22.395314,21.308853,0.770506,2.872343,6.029417,3.864412,3.043289
0.020000,22.335700,21.314612,0.830397,2.994578,6.111724,4.115303,3.047303
0.020000,22.273593,21.320349,0.892768,3.118566,6.199393,4.383477,3.051709
0.020000,22.208953,21.326019,0.957657,3.244422,6.292801,4.670417,3.056536
0.020000,22.141736,21.331572,1.025102,3.372269,6.392353,4.977589,3.061818
0.020000,22.071899,21.336954,1.095147,3.502238,6.498480,5.306362,3.067589
0.020000,21.999392,21.342102,1.167837,3.634471,6.611638,5.657883,3.073886
0.020000,21.924165,21.346946,1.243219,3.769117,6.732299,6.033068,3.080748
0.020000,21.846166,21.351408,1.321346,3.906336,6.860946,6.432331,3.088216
0.020000,21.765338,21.355400,1.402272,4.046297,6.998056,6.855497,3.096337
0.020000,21.681625,21.358824,1.486055,4.189179,7.144086,7.301484,3.105156
0.020000,21.594965,21.361572,1.572758,4.335168,7.299446,7.768020,3.114725
0.020000,21.505297,21.363520,1.662448,4.484457,7.464470,8.251202,3.125097
0.020000,21.412558,21.364533,1.755192,4.637245,7.639370,8.745011,3.136330
0.020000,21.316683,21.364459,1.851067,4.793728,7.824184,9.240688,3.148483
0.020000,21.217610,21.363130,1.950149,4.954102,8.018702,9.725888,3.161620
0.020000,21.115277,21.360359,2.052520,5.118550,8.222380,10.183895,3.175807
0.020000,21.009624,21.355939,2.158265,5.287235,8.434229,10.592460,3.191114
0.020000,20.900600,21.349640,2.267471,5.460288,8.652683,10.922708,3.207610
0.020000,20.788160,21.341210,2.380227,5.637797,8.875442,11.137933,3.225369
0.020000,20.672270,21.330371,2.496622,5.819783,9.099292,11.192490,3.244464
0.020000,20.553166,21.316850,2.616492,5.993472,8.684439,-20.742621,3.264923
0.020000,20.431364,21.300411,2.739398,6.145311,7.591959,-54.624021,3.286714
0.020000,20.307421,21.280842,2.864876,6.273896,6.429262,-58.134813,3.309784
0.020000,20.181935,21.257974,2.992429,6.377666,5.188474,-62.039403,3.334056
0.020000,20.055766,21.231733,3.121297,6.443420,3.287706,-95.038436,3.359378
0.020000,19.929817,21.202135,3.250677,6.468987,1.278362,-100.467180,3.385561
0.020000,19.804795,21.169231,3.379957,6.464002,-0.249241,-76.380173,3.412434
0.020000,19.681422,21.133156,3.508496,6.426941,-1.853065,-80.191189,3.439800
0.020000,19.560429,21.094134,3.635626,6.356498,-3.522148,-83.454133,3.467441
0.020000,19.442314,21.052395,3.760899,6.263647,-4.642537,-56.019449,3.495176
0.020000,19.327302,21.008130,3.884136,6.161830,-5.090874,-22.416845,3.522881
0.020000,19.215566,20.961540,4.005195,6.052963,-5.443338,-17.623203,3.550439
0.020000,19.107260,20.912852,4.123941,5.937332,-5.781536,-16.909898,3.577742
0.020000,19.002513,20.862303,4.240248,5.815339,-6.099641,-15.905287,3.604686
0.020000,18.901425,20.810147,4.353998,5.687484,-6.392749,-14.655363,3.631175
0.020000,18.804073,20.756640,4.465085,5.554343,-6.657053,-13.215239,3.657123
0.020000,18.710506,20.702044,4.573416,5.416544,-6.889949,-11.644761,3.682455
0.020000,18.620745,20.646617,4.678911,5.274744,-7.090025,-10.003809,3.707105
0.020000,18.534789,20.590611,4.781503,5.129604,-7.256999,-8.348724,3.731019
0.020000,18.452613,20.534270,4.881138,4.981772,-7.391580,-6.729025,3.754154
0.020000,18.374172,20.477827,4.977775,4.831866,-7.495294,-5.185700,3.776474
0.020000,18.299405,20.421502,5.071385,4.680460,-7.570300,-3.750303,3.797957
0.020000,18.228235,20.365499,5.161946,4.528077,-7.619194,-2.444707,3.818586
0.020000,18.160576,20.310010,5.249450,4.375180,-7.644838,-1.282211,3.838353
0.020000,18.096330,20.255209,5.333893,4.222176,-7.650203,-0.268259,3.857256
0.020000,18.035394,20.201256,5.415281,4.069411,-7.638246,0.597894,3.875299
0.020000,17.977663,20.148296,5.493625,3.917175,-7.611809,1.321820,3.892490
0.020000,17.923025,20.096460,5.568939,3.765703,-7.573557,1.912588,3.908843
0.020000,17.871371,20.045867,5.641243,3.615185,-7.525927,2.381500,3.924372
0.020000,17.822592,19.996621,5.710558,3.465763,-7.471107,2.741020,3.939095
0.020000,17.776578,19.948817,5.776909,3.317542,-7.411025,3.004098,3.953033
0.020000,17.733227,19.902538,5.840321,3.170595,-7.347356,3.183450,3.966205
0.020000,17.692435,19.857860,5.900820,3.024964,-7.281533,3.291128,3.978634
0.020000,17.654105,19.814847,5.958433,2.880669,-7.214767,3.338320,3.990340
0.020000,17.618143,19.773558,6.013188,2.737708,-7.148063,3.335178,4.001346
0.020000,17.584462,19.734043,6.065109,2.596063,-7.082251,3.290645,4.011673
0.020000,17.552977,19.696348,6.114223,2.455703,-7.017999,3.212565,4.021342
0.020000,17.523610,19.660513,6.160555,2.316586,-6.955843,3.107805,4.030373
0.020000,17.496286,19.626571,6.204128,2.178662,-6.896203,2.981990,4.038785
0.020000,17.470936,19.594554,6.244965,2.041874,-6.839403,2.840034,4.046598
0.020000,17.447497,19.564488,6.283089,1.906160,-6.785682,2.686021,4.053828
0.020000,17.425909,19.536396,6.318518,1.771456,-6.735221,2.523053,4.060492
0.020000,17.406117,19.510298,6.351272,1.637693,-6.688141,2.354028,4.066606
0.020000,17.388071,19.486212,6.381368,1.504803,-6.644522,2.180918,4.072183
0.020000,17.371727,19.464153,6.408822,1.372714,-6.604414,2.005399,4.077237
0.020000,17.357043,19.444134,6.433649,1.241358,-6.567838,1.828795,4.081779
0.020000,17.343981,19.426167,6.455862,1.110662,-6.534798,1.652029,4.085821
0.020000,17.332510,19.410260,6.475473,0.980556,-6.505283,1.475744,4.089371
0.020000,17.322601,19.396423,6.492493,0.850970,-6.479275,1.300407,4.092438
0.020000,17.314228,19.384662,6.506929,0.721835,-6.456749,1.126292,4.095031
0.020000,17.307372,19.374983,6.518791,0.593082,-6.437679,0.953477,4.097154
0.020000,17.302015,19.367390,6.528084,0.464641,-6.422041,0.781925,4.098813
0.020000,17.298144,19.361886,6.534813,0.336445,-6.409808,0.611660,4.100012
0.020000,17.295621,19.358292,6.539204,0.219555,-5.844501,28.265343,4.100793
0.020000,17.294167,19.356217,6.541738,0.126683,-4.643599,60.045117,4.101244
0.020000,17.293485,19.355244,6.542926,0.059428,-3.362750,64.042414,4.101455
0.020000,17.293281,19.354953,6.543281,0.017757,-2.083528,63.961089,4.101518
0.020000,17.293262,19.354925,6.543314,0.001658,-0.804977,63.927575,4.101524
0.020000,17.293262,19.354925,6.543314,0.000000,-0.082889,36.104420,4.101524
