dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.999855,20.000019,0.000200,0.019985,0.999245,49.962256,3.010696
0.020000,22.999062,20.000123,0.000999,0.059955,1.998490,49.962256,3.010711
0.020000,22.997279,20.000358,0.002798,0.119909,2.997735,49.962256,3.010747
0.020000,22.994109,20.000775,0.005995,0.199849,3.996980,49.962256,3.010810
0.020000,22.989155,20.001427,0.010992,0.299774,4.996226,49.962256,3.010910
0.020000,22.982220,20.002338,0.017986,0.399698,4.996226,0.000000,3.011052
0.020000,22.973303,20.003507,0.026980,0.499623,4.996226,-0.000000,3.011241
0.020000,22.962405,20.004935,0.037971,0.599547,4.996226,-0.000000,3.011478
0.020000,22.949524,20.006618,0.050962,0.699472,4.996226,0.000000,3.011769
0.020000,22.934661,20.008556,0.065950,0.799396,4.996226,0.000000,3.012119
0.020000,22.917816,20.010746,0.082937,0.899321,4.996226,-0.000000,3.012534
0.020000,22.898987,20.013185,0.101923,0.999245,4.996226,0.000000,3.013021
0.020000,22.878176,20.015870,0.122907,1.099170,4.996226,-0.000000,3.013587
0.020000,22.855380,20.018796,0.145890,1.199094,4.996226,0.000000,3.014241
0.020000,22.830600,20.021960,0.170871,1.299019,4.996226,-0.000000,3.014993
0.020000,22.803835,20.025355,0.197851,1.398943,4.996226,0.000000,3.015852
0.020000,22.775084,20.028975,0.226829,1.498868,4.996226,0.000000,3.016831
0.020000,22.744346,20.032813,0.257805,1.598792,4.996226,0.000000,3.017940
0.020000,22.711620,20.036860,0.290780,1.698717,4.996226,-0.000000,3.019194
0.020000,22.676905,20.041105,0.325754,1.798641,4.996226,0.000000,3.020606
0.020000,22.640200,20.045539,0.362726,1.898566,4.996226,-0.000000,3.022192
0.020000,22.601503,20.050147,0.401697,1.998490,4.996226,0.000000,3.023966
0.020000,22.560812,20.054915,0.442666,2.098415,4.996226,-0.000000,3.025948
0.020000,22.518126,20.059826,0.485633,2.198339,4.996226,-0.000000,3.028154
0.020000,22.473443,20.064862,0.530599,2.298264,4.996226,0.000000,3.030605
0.020000,22.426760,20.070001,0.577564,2.398188,4.996226,-0.000000,3.033321
0.020000,22.378076,20.075220,0.626527,2.498113,4.996226,0.000000,3.036324
0.020000,22.327388,20.080491,0.677488,2.598037,4.996226,-0.000000,3.039639
0.020000,22.274694,20.085786,0.730448,2.697962,4.996226,0.000000,3.043289
0.020000,22.219990,20.091071,0.785407,2.797886,4.996226,-0.000000,3.047303
0.020000,22.163274,20.096310,0.842364,2.897811,4.996226,0.000000,3.051709
0.020000,22.104544,20.101461,0.901319,2.997735,4.996226,0.000000,3.056536
0.020000,22.043798,20.106481,0.962273,3.097660,4.996226,-0.000000,3.061818
0.020000,21.981031,20.111318,1.025225,3.197584,4.996226,0.000000,3.067589
0.020000,21.916244,20.115918,1.090176,3.297509,4.996226,-0.000000,3.073886
0.020000,21.849433,20.120221,1.157126,3.397433,4.996226,0.000000,3.080748
0.020000,21.780598,20.124158,1.226074,3.497358,4.996226,0.000000,3.088216
0.020000,21.709738,20.127658,1.297020,3.597282,4.996226,-0.000000,3.096337
0.020000,21.636854,20.130640,1.369965,3.697207,4.996226,-0.000000,3.105156
0.020000,21.561949,20.133015,1.444908,3.797131,4.996226,0.000000,3.114725
0.020000,21.485025,20.134687,1.521850,3.897056,4.996226,-0.000000,3.125097
0.020000,21.406090,20.135550,1.600791,3.996980,4.996226,0.000000,3.136330
0.020000,21.325152,20.135488,1.681730,4.096905,4.996226,-0.000000,3.148483
0.020000,21.242222,20.134377,1.764667,4.196829,4.996226,0.000000,3.161620
0.020000,21.157318,20.132079,1.849603,4.296754,4.996226,-0.000000,3.175807
0.020000,21.070461,20.128446,1.936537,4.396679,4.996226,0.000000,3.191114
0.020000,20.981677,20.123318,2.025470,4.496603,4.996226,0.000000,3.207610
0.020000,20.891001,20.116520,2.116401,4.596528,4.996226,-0.000000,3.225369
0.020000,20.798477,20.107868,2.209331,4.696452,4.996226,0.000000,3.244464
0.020000,20.704354,20.097185,2.304059,4.776392,3.996980,-49.962256,3.264923
0.020000,20.609092,20.084329,2.400187,4.836346,2.997735,-49.962256,3.286714
0.020000,20.513156,20.069185,2.497313,4.876316,1.998490,-49.962256,3.309784
0.020000,20.417015,20.051666,2.595040,4.896301,0.999245,-49.962256,3.334056
0.020000,20.321313,20.031764,2.692792,4.878908,-0.869666,-93.445544,3.359378
0.020000,20.226689,20.009529,2.789996,4.841530,-1.868911,-49.962256,3.385561
0.020000,20.133604,19.985033,2.886253,4.784166,-2.868156,-49.962256,3.412434
0.020000,20.042511,19.958398,2.981163,4.706818,-3.867401,-49.962256,3.439800
0.020000,19.953848,19.929805,3.074326,4.609485,-4.866646,-49.962256,3.467441
0.020000,19.867870,19.899424,3.165516,4.509561,-4.996226,-6.478967,3.495176
0.020000,19.784633,19.867389,3.254708,4.409636,-4.996226,-0.000000,3.522881
