dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.839479,18.781528,0.000198,0.019759,0.987970,49.398476,3.010700
0.020000,22.838751,18.781624,0.000932,0.036705,0.847304,-7.033274,3.010745
0.020000,22.837114,18.781839,0.002583,0.082583,2.293885,72.329055,3.010848
0.020000,22.834203,18.782222,0.005519,0.146800,3.210860,45.848753,3.011032
0.020000,22.829655,18.782818,0.010106,0.229339,4.126945,45.804240,3.011319
0.020000,22.823289,18.783651,0.016526,0.321000,4.583058,22.805642,3.011723
0.020000,22.815107,18.784717,0.024778,0.412587,4.579312,-0.187272,3.012243
0.020000,22.805109,18.786015,0.034859,0.504076,4.574471,-0.242068,3.012883
0.020000,22.793298,18.787539,0.046768,0.595446,4.568514,-0.297842,3.013643
0.020000,22.779676,18.789285,0.060502,0.686675,4.561418,-0.354832,3.014527
0.020000,22.764246,18.791248,0.076057,0.777738,4.553152,-0.413286,3.015537
0.020000,22.747010,18.793423,0.093429,0.868611,4.543682,-0.473467,3.016675
0.020000,22.727973,18.795801,0.112614,0.959271,4.532969,-0.535651,3.017946
0.020000,22.707137,18.798376,0.133608,1.049690,4.520967,-0.600141,3.019353
0.020000,22.684508,18.801138,0.156405,1.139843,4.507622,-0.667224,3.020901
0.020000,22.660091,18.804078,0.180999,1.229700,4.492876,-0.737315,3.022595
0.020000,22.633890,18.807187,0.207384,1.319233,4.476662,-0.810691,3.024439
0.020000,22.605911,18.810451,0.235552,1.408411,4.458905,-0.887837,3.026439
0.020000,22.576162,18.813860,0.265496,1.497202,4.439523,-0.969135,3.028603
0.020000,22.544649,18.817398,0.297207,1.585570,4.418420,-1.055106,3.030936
0.020000,22.511379,18.821053,0.330677,1.673480,4.395495,-1.146268,3.033446
0.020000,22.476362,18.824807,0.365895,1.760893,4.370632,-1.243161,3.036142
0.020000,22.439606,18.828644,0.402850,1.847767,4.343702,-1.346470,3.039032
0.020000,22.401122,18.832545,0.441531,1.934058,4.314565,-1.456859,3.042125
0.020000,22.360921,18.836490,0.481926,2.019719,4.283063,-1.575109,3.045432
0.020000,22.319015,18.840458,0.524020,2.104700,4.249022,-1.702069,3.048964
0.020000,22.275416,18.844425,0.567798,2.188945,4.212249,-1.838656,3.052732
0.020000,22.230139,18.848368,0.613246,2.272395,4.172531,-1.985897,3.056751
0.020000,22.183201,18.852259,0.660346,2.354988,4.129631,-2.144973,3.061033
0.020000,22.134617,18.856071,0.709079,2.436654,4.083290,-2.317060,3.065593
0.020000,22.084407,18.859772,0.759426,2.517318,4.033219,-2.503561,3.070449
0.020000,22.032591,18.863331,0.811364,2.596900,3.979098,-2.706051,3.075618
0.020000,21.979191,18.866712,0.864870,2.675312,3.920577,-2.926056,3.081118
0.020000,21.924233,18.869880,0.919919,2.752457,3.857266,-3.165527,3.086971
0.020000,21.867744,18.872793,0.976484,2.828232,3.788739,-3.426350,3.093198
0.020000,21.809752,18.875410,1.034534,2.902522,3.714525,-3.710720,3.099824
0.020000,21.750292,18.877687,1.094038,2.975205,3.634106,-4.020920,3.106875
0.020000,21.689398,18.879574,1.154961,3.046143,3.546918,-4.359440,3.114379
0.020000,21.627111,18.881022,1.217265,3.115190,3.452339,-4.728918,3.122368
0.020000,21.563475,18.881977,1.280908,3.182184,3.349698,-5.132037,3.130874
0.020000,21.498537,18.882381,1.345847,3.246949,3.238266,-5.571635,3.139933
0.020000,21.432352,18.882174,1.412033,3.309294,3.117257,-6.050426,3.149586
0.020000,21.364977,18.881291,1.479414,3.369011,2.985836,-6.571059,3.159875
0.020000,21.296479,18.879666,1.547931,3.425873,2.843120,-7.135798,3.170847
0.020000,21.226929,18.877227,1.617524,3.479637,2.688192,-7.746380,3.182551
0.020000,21.156407,18.873899,1.688125,3.530039,2.520121,-8.403588,3.195042
0.020000,21.085000,18.869605,1.759661,3.576799,2.337984,-9.106818,3.208380
