dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.160297,21.218502,0.000198,0.019759,0.987970,49.398476,3.010700
0.020000,23.159457,21.218612,0.001044,0.042332,1.128635,7.033274,3.010745
0.020000,23.157568,21.218860,0.002949,0.095251,2.645963,75.866374,3.010848
0.020000,23.154210,21.219302,0.006336,0.169350,3.704926,52.948195,3.011032
0.020000,23.148962,21.219990,0.011629,0.264645,4.764781,52.992726,3.011319
0.020000,23.141613,21.220951,0.019041,0.370578,5.296637,26.592812,3.011723
0.020000,23.132162,21.222183,0.028572,0.476586,5.300383,0.187273,3.012243
0.020000,23.120605,21.223683,0.040226,0.582690,5.305224,0.242061,3.012883
0.020000,23.106940,21.225446,0.054005,0.688914,5.311180,0.297831,3.013643
0.020000,23.091163,21.227469,0.069910,0.795280,5.318277,0.354819,3.014527
0.020000,23.073271,21.229745,0.087946,0.901810,5.326542,0.413272,3.015537
0.020000,23.053259,21.232270,0.108117,1.008531,5.336011,0.473450,3.016675
0.020000,23.031122,21.235035,0.130426,1.115465,5.346724,0.535631,3.017946
0.020000,23.006854,21.238034,0.154879,1.222640,5.358726,0.600105,3.019353
0.020000,22.980448,21.241257,0.181481,1.330081,5.372071,0.667225,3.020901
0.020000,22.951898,21.244696,0.210237,1.437817,5.386816,0.737253,3.022595
0.020000,22.921196,21.248338,0.241155,1.545878,5.403029,0.810669,3.024439
0.020000,22.888333,21.252172,0.274240,1.654294,5.420785,0.887781,3.026439
0.020000,22.853300,21.256186,0.309502,1.763097,5.440167,0.969099,3.028603
0.020000,22.816088,21.260365,0.346949,1.872322,5.461268,1.055053,3.030936
0.020000,22.776685,21.264693,0.386589,1.982006,5.484191,1.146177,3.033446
0.020000,22.735079,21.269153,0.428433,2.092187,5.509053,1.243095,3.036142
0.020000,22.691259,21.273728,0.472491,2.202907,5.535981,1.346377,3.039032
0.020000,22.645211,21.278395,0.518775,2.314209,5.565116,1.456759,3.042125
0.020000,22.596920,21.283134,0.567298,2.426141,5.596616,1.574993,3.045432
0.020000,22.546371,21.287920,0.618073,2.538754,5.630654,1.701921,3.048964
0.020000,22.493547,21.292727,0.671115,2.652103,5.667424,1.838493,3.052732
