dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.999888,20.000015,0.000198,0.019759,0.987970,49.398476,3.010700
0.020000,22.999104,20.000118,0.000988,0.059278,1.975939,49.398476,3.010745
0.020000,22.997341,20.000350,0.002766,0.118556,2.963909,49.398476,3.010848
0.020000,22.994207,20.000762,0.005928,0.197594,3.951878,49.398476,3.011032
0.020000,22.989309,20.001404,0.010868,0.296391,4.939848,49.398476,3.011319
0.020000,22.982451,20.002301,0.017783,0.395188,4.939848,0.000000,3.011723
0.020000,22.973634,20.003450,0.026675,0.493985,4.939848,0.000000,3.012243
0.020000,22.962857,20.004849,0.037543,0.592782,4.939848,-0.000000,3.012883
0.020000,22.950119,20.006492,0.050386,0.691579,4.939848,0.000000,3.013643
0.020000,22.935420,20.008377,0.065206,0.790376,4.939848,0.000000,3.014527
0.020000,22.918759,20.010497,0.082001,0.889173,4.939848,-0.000000,3.015537
0.020000,22.900135,20.012846,0.100773,0.987970,4.939848,0.000000,3.016675
0.020000,22.879547,20.015418,0.121520,1.086766,4.939848,-0.000000,3.017946
0.020000,22.856996,20.018205,0.144244,1.185563,4.939848,0.000000,3.019353
0.020000,22.832478,20.021198,0.168943,1.284360,4.939848,-0.000000,3.020901
0.020000,22.805994,20.024387,0.195618,1.383157,4.939848,0.000000,3.022595
0.020000,22.777543,20.027762,0.224269,1.481954,4.939848,0.000000,3.024439
0.020000,22.747122,20.031312,0.254896,1.580751,4.939848,0.000000,3.026439
0.020000,22.714731,20.035023,0.287499,1.679548,4.939848,-0.000000,3.028603
0.020000,22.680368,20.038882,0.322078,1.778345,4.939848,0.000000,3.030936
0.020000,22.644032,20.042873,0.358633,1.877142,4.939848,-0.000000,3.033446
0.020000,22.605721,20.046980,0.397164,1.975939,4.939848,0.000000,3.036142
0.020000,22.565433,20.051186,0.437671,2.074736,4.939848,-0.000000,3.039032
0.020000,22.523167,20.055470,0.480153,2.173533,4.939848,0.000000,3.042125
0.020000,22.478921,20.059812,0.524612,2.272330,4.939848,0.000000,3.045432
0.020000,22.432693,20.064189,0.571046,2.371127,4.939848,-0.000000,3.048964
0.020000,22.384482,20.068576,0.619457,2.469924,4.939848,0.000000,3.052732
0.020000,22.334285,20.072947,0.669843,2.568721,4.939848,-0.000000,3.056751
0.020000,22.282102,20.077273,0.722206,2.667518,4.939848,0.000000,3.061033
0.020000,22.227930,20.081523,0.776544,2.766315,4.939848,-0.000000,3.065593
0.020000,22.171768,20.085663,0.832858,2.865112,4.939848,0.000000,3.070449
0.020000,22.113615,20.089657,0.891149,2.963909,4.939848,0.000000,3.075618
0.020000,22.053469,20.093466,0.951415,3.062706,4.939848,0.000000,3.081118
0.020000,21.991330,20.097047,1.013657,3.161502,4.939848,-0.000000,3.086971
0.020000,21.927198,20.100354,1.077875,3.260299,4.939848,0.000000,3.093198
0.020000,21.861071,20.103338,1.144069,3.359096,4.939848,0.000000,3.099824
0.020000,21.792951,20.105946,1.212239,3.457893,4.939848,0.000000,3.106875
0.020000,21.722839,20.108119,1.282384,3.556690,4.939848,0.000000,3.114379
0.020000,21.650737,20.109795,1.354506,3.655487,4.939848,-0.000000,3.122368
0.020000,21.576648,20.110907,1.428604,3.754284,4.939848,0.000000,3.130874
0.020000,21.500576,20.111380,1.504678,3.853081,4.939848,0.000000,3.139933
0.020000,21.422527,20.111135,1.582727,3.951878,4.939848,0.000000,3.149586
