dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750067,24.729000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,1.750863,24.729000,0.000995,0.039772,0.988593,-0.570342,0.000004
0.020000,1.752652,24.729000,0.002785,0.089487,2.485754,74.858024,0.000012
0.020000,1.755834,24.729000,0.005967,0.159089,3.480089,49.716778,0.000027
0.020000,1.760806,24.729000,0.010939,0.248578,4.474477,49.719393,0.000050
0.020000,1.767766,24.729001,0.017899,0.348014,4.971784,24.865350,0.000083
0.020000,1.776715,24.729002,0.026848,0.447454,4.972003,0.010942,0.000124
0.020000,1.787653,24.729003,0.037786,0.546900,4.972284,0.014068,0.000175
0.020000,1.800580,24.729006,0.050713,0.646352,4.972628,0.017194,0.000234
0.020000,1.815496,24.729010,0.065629,0.745813,4.973035,0.020320,0.000302
0.020000,1.832402,24.729016,0.082535,0.845283,4.973503,0.023446,0.000379
0.020000,1.851297,24.729024,0.101430,0.944764,4.974035,0.026572,0.000464
0.020000,1.872182,24.729034,0.122315,1.044256,4.974629,0.029697,0.000557
0.020000,1.895058,24.729048,0.145190,1.143762,4.975285,0.032822,0.000659
0.020000,1.919923,24.729066,0.170056,1.243282,4.976004,0.035948,0.000768
0.020000,1.946780,24.729088,0.196912,1.342818,4.976786,0.039072,0.000885
0.020000,1.975627,24.729116,0.225760,1.442370,4.977630,0.042197,0.001009
0.020000,2.006466,24.729149,0.256599,1.541941,4.978536,0.045321,0.001141
0.020000,2.039296,24.729188,0.289429,1.641531,4.979505,0.048445,0.001278
0.020000,2.074119,24.729235,0.324252,1.741142,4.980536,0.051568,0.001422
0.020000,2.110935,24.729291,0.361068,1.840775,4.981630,0.054692,0.001573
0.020000,2.149743,24.729355,0.399876,1.940430,4.982786,0.057814,0.001728
0.020000,2.190545,24.729428,0.440678,2.040110,4.984005,0.060937,0.001889
0.020000,2.233341,24.729513,0.483475,2.139816,4.985286,0.064059,0.002055
0.020000,2.278132,24.729609,0.528266,2.239549,4.986630,0.067180,0.002225
0.020000,2.324918,24.729717,0.575052,2.339309,4.988036,0.070301,0.002399
0.020000,2.373700,24.729838,0.623834,2.439100,4.989504,0.073422,0.002576
0.020000,2.424478,24.729974,0.674612,2.538920,4.991035,0.076542,0.002757
0.020000,2.477254,24.730124,0.727388,2.638773,4.992629,0.079662,0.002939
0.020000,2.532027,24.730290,0.782161,2.738658,4.994284,0.082782,0.003124
0.020000,2.588798,24.730473,0.838933,2.838579,4.996002,0.085901,0.003310
0.020000,2.647568,24.730673,0.897703,2.938534,4.997783,0.089019,0.003496
0.020000,2.708338,24.730891,0.958474,3.038527,4.999625,0.092138,0.003683
0.020000,2.771109,24.731128,1.021245,3.138557,5.001530,0.095255,0.003869
0.020000,2.835881,24.731385,1.086017,3.238627,5.003498,0.098373,0.004054
0.020000,2.902655,24.731662,1.152792,3.338738,5.005528,0.101490,0.004238
0.020000,2.971432,24.731959,1.221570,3.438890,5.007620,0.104607,0.004419
0.020000,3.042213,24.732278,1.292352,3.539086,5.009774,0.107724,0.004596
0.020000,3.114999,24.732619,1.365138,3.639325,5.011991,0.110841,0.004770
