dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.160060,22.271000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,2.160859,22.271000,0.001000,0.040000,1.000000,-0.000000,0.000000
0.020000,2.162660,22.271000,0.002800,0.090000,2.500000,75.000000,0.000000
0.020000,2.165860,22.271000,0.006000,0.160000,3.500000,50.000000,0.000000
0.020000,2.170860,22.271000,0.011000,0.250000,4.500000,50.000000,0.000000
0.020000,2.177860,22.271000,0.018000,0.350000,5.000000,25.000000,0.000000
0.020000,2.186860,22.271000,0.027000,0.450000,5.000000,-0.000000,0.000000
0.020000,2.197859,22.271000,0.038000,0.550000,5.000000,0.000000,0.000000
0.020000,2.210860,22.271000,0.051000,0.650000,5.000000,0.000000,0.000000
0.020000,2.225860,22.271000,0.066000,0.750000,5.000000,-0.000000,0.000000
0.020000,2.242860,22.271000,0.083000,0.850000,5.000000,0.000000,0.000000
0.020000,2.261860,22.271000,0.102000,0.950000,5.000000,-0.000000,0.000000
0.020000,2.282860,22.271000,0.123000,1.050000,5.000000,-0.000000,0.000000
0.020000,2.305860,22.271000,0.146000,1.150000,5.000000,0.000000,0.000000
0.020000,2.330860,22.271000,0.171000,1.250000,5.000000,-0.000000,0.000000
0.020000,2.357860,22.271000,0.198000,1.350000,5.000000,0.000000,0.000000
0.020000,2.386860,22.271000,0.227000,1.450000,5.000000,0.000000,0.000000
0.020000,2.417860,22.271000,0.258000,1.550000,5.000000,0.000000,0.000000
0.020000,2.450860,22.271000,0.291000,1.650000,5.000000,-0.000000,0.000000
0.020000,2.485860,22.271000,0.326000,1.750000,5.000000,0.000000,0.000000
0.020000,2.522860,22.271000,0.363000,1.850000,5.000000,-0.000000,0.000000
0.020000,2.561860,22.271000,0.402000,1.950000,5.000000,0.000000,0.000000
0.020000,2.602860,22.271000,0.443000,2.050000,5.000000,-0.000000,0.000000
0.020000,2.645860,22.271000,0.486000,2.150000,5.000000,-0.000000,0.000000
0.020000,2.690859,22.271000,0.531000,2.250000,5.000000,0.000000,0.000000
0.020000,2.737859,22.271000,0.578000,2.350000,5.000000,-0.000000,0.000000
0.020000,2.786859,22.271000,0.627000,2.450000,5.000000,0.000000,0.000000
0.020000,2.837859,22.271000,0.678000,2.550000,5.000000,-0.000000,0.000000
0.020000,2.890859,22.271000,0.731000,2.650000,5.000000,0.000000,0.000000
0.020000,2.945859,22.271000,0.786000,2.750000,5.000000,-0.000000,0.000000
0.020000,3.002859,22.271000,0.843000,2.850000,5.000000,0.000000,0.000000
0.020000,3.061859,22.271000,0.902000,2.950000,5.000000,0.000000,0.000000
0.020000,3.122859,22.271000,0.963000,3.050000,5.000000,0.000000,0.000000
0.020000,3.185859,22.271000,1.026000,3.150000,5.000000,-0.000000,0.000000
0.020000,3.250859,22.271000,1.091000,3.250000,5.000000,0.000000,0.000000
0.020000,3.317859,22.271000,1.158000,3.350000,5.000000,-0.000000,0.000000
0.020000,3.386860,22.271000,1.227000,3.450000,5.000000,0.000000,0.000000
