dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750068,22.271000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,1.750872,22.271000,0.001005,0.040228,1.011407,0.570342,0.000004
0.020000,1.752683,22.271000,0.002815,0.090513,2.514246,75.141976,0.000012
0.020000,1.755901,22.271000,0.006033,0.160911,3.519911,50.283222,0.000027
0.020000,1.760929,22.271000,0.011061,0.251422,4.525523,50.280607,0.000050
0.020000,1.767969,22.271001,0.018101,0.351986,5.028216,25.134650,0.000083
0.020000,1.777020,22.271002,0.027152,0.452546,5.027997,-0.010942,0.000124
0.020000,1.788082,22.271003,0.038214,0.553100,5.027716,-0.014068,0.000175
0.020000,1.801155,22.271006,0.051287,0.653648,5.027372,-0.017194,0.000234
0.020000,1.816239,22.271010,0.066371,0.754187,5.026965,-0.020320,0.000302
0.020000,1.833333,22.271016,0.083465,0.854717,5.026497,-0.023446,0.000379
0.020000,1.852438,22.271024,0.102570,0.955236,5.025965,-0.026572,0.000464
0.020000,1.873553,22.271035,0.123685,1.055744,5.025371,-0.029697,0.000557
0.020000,1.896677,22.271049,0.146810,1.156238,5.024715,-0.032823,0.000659
0.020000,1.921812,22.271067,0.171944,1.256718,5.023996,-0.035948,0.000768
0.020000,1.948955,22.271089,0.199088,1.357182,5.023214,-0.039072,0.000885
0.020000,1.978108,22.271117,0.228240,1.457630,5.022370,-0.042197,0.001009
0.020000,2.009269,22.271150,0.259401,1.558059,5.021464,-0.045321,0.001141
0.020000,2.042438,22.271190,0.292571,1.658469,5.020495,-0.048445,0.001278
0.020000,2.077616,22.271238,0.327748,1.758858,5.019464,-0.051569,0.001422
0.020000,2.114800,22.271294,0.364932,1.859225,5.018370,-0.054692,0.001573
0.020000,2.153991,22.271358,0.404124,1.959570,5.017214,-0.057814,0.001728
0.020000,2.195189,22.271433,0.445322,2.059890,5.015995,-0.060937,0.001889
0.020000,2.238393,22.271518,0.488525,2.160184,5.014714,-0.064059,0.002055
0.020000,2.283602,22.271615,0.533734,2.260451,5.013370,-0.067180,0.002225
0.020000,2.330815,22.271724,0.580948,2.360691,5.011964,-0.070302,0.002399
0.020000,2.380033,22.271846,0.630166,2.460900,5.010496,-0.073422,0.002576
0.020000,2.431255,22.271983,0.681388,2.561080,5.008965,-0.076542,0.002757
0.020000,2.484479,22.272135,0.734612,2.661227,5.007371,-0.079662,0.002939
0.020000,2.539705,22.272302,0.789839,2.761342,5.005716,-0.082782,0.003124
