dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.160060,23.500000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,2.160859,23.500000,0.001000,0.060000,2.000000,50.000000,0.000000
0.020000,2.162660,23.500000,0.002800,0.120000,3.000000,50.000000,0.000000
0.020000,2.165860,23.500000,0.006000,0.200000,4.000000,50.000000,0.000000
0.020000,2.170860,23.500000,0.011000,0.300000,5.000000,50.000000,0.000000
0.020000,2.177860,23.500000,0.018000,0.400000,5.000000,0.000000,0.000000
0.020000,2.186860,23.500000,0.027000,0.500000,5.000000,-0.000000,0.000000
0.020000,2.197859,23.500000,0.038000,0.600000,5.000000,0.000000,0.000000
0.020000,2.210860,23.500000,0.051000,0.700000,5.000000,0.000000,0.000000
0.020000,2.225860,23.500000,0.066000,0.800000,5.000000,0.000000,0.000000
0.020000,2.242860,23.500000,0.083000,0.900000,5.000000,-0.000000,0.000000
0.020000,2.261860,23.500000,0.102000,1.000000,5.000000,0.000000,0.000000
0.020000,2.282860,23.500000,0.123000,1.100000,5.000000,0.000000,0.000000
0.020000,2.305860,23.500000,0.146000,1.200000,5.000000,-0.000000,0.000000
0.020000,2.330860,23.500000,0.171000,1.300000,5.000000,0.000000,0.000000
0.020000,2.357860,23.500000,0.198000,1.400000,5.000000,-0.000000,0.000000
0.020000,2.386860,23.500000,0.227000,1.500000,5.000000,0.000000,0.000000
0.020000,2.417860,23.500000,0.258000,1.600000,5.000000,0.000000,0.000000
0.020000,2.450860,23.500000,0.291000,1.700000,5.000000,-0.000000,0.000000
0.020000,2.485860,23.500000,0.326000,1.800000,5.000000,0.000000,0.000000
0.020000,2.522860,23.500000,0.363000,1.900000,5.000000,-0.000000,0.000000
0.020000,2.561860,23.500000,0.402000,2.000000,5.000000,0.000000,0.000000
0.020000,2.602860,23.500000,0.443000,2.100000,5.000000,0.000000,0.000000
0.020000,2.645860,23.500000,0.486000,2.200000,5.000000,0.000000,0.000000
0.020000,2.690859,23.500000,0.531000,2.300000,5.000000,-0.000000,0.000000
0.020000,2.737859,23.500000,0.578000,2.400000,5.000000,0.000000,0.000000
