dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750067,23.500000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,1.750867,23.500000,0.001000,0.060000,2.000000,50.000000,0.000004
0.020000,1.752667,23.500000,0.002800,0.120000,3.000000,50.000000,0.000012
0.020000,1.755867,23.500000,0.006000,0.200000,4.000000,50.000000,0.000027
0.020000,1.760867,23.500000,0.011000,0.300000,5.000000,50.000000,0.000050
0.020000,1.767867,23.500001,0.018000,0.400000,5.000000,0.000000,0.000083
0.020000,1.776867,23.500002,0.027000,0.500000,5.000000,-0.000000,0.000124
0.020000,1.787867,23.500003,0.038000,0.600000,5.000000,0.000000,0.000175
0.020000,1.800867,23.500006,0.051000,0.700000,5.000000,0.000000,0.000234
0.020000,1.815867,23.500010,0.066000,0.800000,5.000000,0.000000,0.000302
0.020000,1.832867,23.500016,0.083000,0.900000,5.000000,-0.000000,0.000379
0.020000,1.851867,23.500024,0.102000,1.000000,5.000000,0.000000,0.000464
0.020000,1.872867,23.500035,0.123000,1.100000,5.000000,0.000000,0.000557
0.020000,1.895867,23.500049,0.146000,1.200000,5.000000,-0.000000,0.000659
0.020000,1.920867,23.500066,0.171000,1.300000,5.000000,0.000000,0.000768
0.020000,1.947867,23.500089,0.198000,1.400000,5.000000,-0.000000,0.000885
0.020000,1.976867,23.500116,0.227000,1.500000,5.000000,0.000000,0.001009
0.020000,2.007867,23.500149,0.258000,1.600000,5.000000,0.000000,0.001141
0.020000,2.040867,23.500189,0.291000,1.700000,5.000000,-0.000000,0.001278
0.020000,2.075867,23.500237,0.326000,1.800000,5.000000,0.000000,0.001422
0.020000,2.112867,23.500292,0.363000,1.900000,5.000000,-0.000000,0.001573
0.020000,2.151867,23.500356,0.402000,2.000000,5.000000,0.000000,0.001728
0.020000,2.192867,23.500431,0.443000,2.100000,5.000000,0.000000,0.001889
0.020000,2.235867,23.500515,0.486000,2.200000,5.000000,0.000000,0.002055
0.020000,2.280867,23.500612,0.531000,2.300000,5.000000,-0.000000,0.002225
0.020000,2.327867,23.500720,0.578000,2.400000,5.000000,0.000000,0.002399
0.020000,2.376867,23.500842,0.627000,2.500000,5.000000,0.000000,0.002576
0.020000,2.427867,23.500978,0.678000,2.600000,5.000000,0.000000,0.002757
0.020000,2.480866,23.501129,0.731000,2.700000,5.000000,0.000000,0.002939
0.020000,2.535866,23.501296,0.786000,2.800000,5.000000,-0.000000,0.003124
0.020000,2.592866,23.501479,0.843000,2.900000,5.000000,0.000000,0.003310
0.020000,2.651865,23.501680,0.902000,3.000000,5.000000,0.000000,0.003496
0.020000,2.712865,23.501899,0.963000,3.100000,5.000000,0.000000,0.003683
0.020000,2.775865,23.502137,1.026000,3.200000,5.000000,0.000000,0.003869
0.020000,2.840864,23.502395,1.091000,3.300000,5.000000,-0.000000,0.004054
0.020000,2.907863,23.502673,1.158000,3.400000,5.000000,0.000000,0.004238
0.020000,2.976863,23.502971,1.227000,3.500000,5.000000,0.000000,0.004419
0.020000,3.047862,23.503291,1.298000,3.600000,5.000000,0.000000,0.004596
0.020000,3.120861,23.503633,1.371000,3.700000,5.000000,0.000000,0.004770
0.020000,3.195860,23.503997,1.446000,3.800000,5.000000,-0.000000,0.004939
0.020000,3.272859,23.504384,1.523000,3.900000,5.000000,0.000000,0.005103
0.020000,3.351858,23.504794,1.602000,4.000000,5.000000,0.000000,0.005260
0.020000,3.432857,23.505226,1.683000,4.100000,5.000000,-0.000000,0.005411
0.020000,3.515856,23.505681,1.766000,4.200000,5.000000,0.000000,0.005553
0.020000,3.600855,23.506159,1.851000,4.300000,5.000000,-0.000000,0.005687
0.020000,3.687853,23.506659,1.938000,4.400000,5.000000,0.000000,0.005812
0.020000,3.776852,23.507181,2.027000,4.500000,5.000000,-0.000000,0.005926
0.020000,3.867850,23.507725,2.118000,4.600000,5.000000,0.000000,0.006029
0.020000,3.960848,23.508290,2.211000,4.700000,5.000000,0.000000,0.006119
0.020000,4.055847,23.508875,2.306000,4.800000,5.000000,-0.000000,0.006196
0.020000,4.152845,23.509480,2.403000,4.900000,5.000000,0.000000,0.006260
0.020000,4.251843,23.510102,2.502000,5.000000,5.000000,-0.000000,0.006308
0.020000,4.352841,23.510741,2.603000,5.100000,5.000000,0.000000,0.006340
0.020000,4.455839,23.511395,2.706000,5.200000,5.000000,0.000000,0.006354
0.020000,4.560836,23.512062,2.811000,5.300000,5.000000,-0.000000,0.006351
0.020000,4.667834,23.512740,2.918000,5.400000,5.000000,0.000000,0.006328
0.020000,4.776832,23.513428,3.027000,5.500000,5.000000,-0.000000,0.006285
0.020000,4.887830,23.514122,3.138000,5.600000,5.000000,0.000000,0.006221
0.020000,5.000828,23.514820,3.251000,5.700000,5.000000,0.000000,0.006134
0.020000,5.115826,23.515520,3.366000,5.800000,5.000000,-0.000000,0.006023
0.020000,5.232824,23.516217,3.483000,5.900000,5.000000,0.000000,0.005887
