dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.130000,24.379000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.130800,24.379000,0.001000,0.040021,1.001028,0.051415,6.283184
0.020000,0.132603,24.379000,0.002803,0.090148,2.506370,75.267065,6.283182
0.020000,0.135608,24.379000,0.005808,0.150247,3.004929,24.927969,6.283178
0.020000,0.139815,24.379000,0.010015,0.210345,3.004925,-0.000221,6.283172
0.020000,0.145224,24.379000,0.015424,0.270443,3.004918,-0.000309,6.283165
0.020000,0.151835,24.379000,0.022035,0.330542,3.004910,-0.000398,6.283156
0.020000,0.159648,24.378999,0.029848,0.390640,3.004901,-0.000486,6.283146
0.020000,0.168662,24.378999,0.038862,0.450737,3.004889,-0.000574,6.283134
0.020000,0.178879,24.378998,0.049079,0.510835,3.004876,-0.000663,6.283120
0.020000,0.190298,24.378998,0.060498,0.570932,3.004861,-0.000751,6.283105
0.020000,0.202918,24.378996,0.073118,0.631029,3.004844,-0.000840,6.283088
0.020000,0.216741,24.378995,0.086941,0.691126,3.004826,-0.000928,6.283070
0.020000,0.231765,24.378993,0.101965,0.751222,3.004805,-0.001016,6.283050
0.020000,0.247992,24.378991,0.118192,0.811317,3.004783,-0.001105,6.283029
0.020000,0.265420,24.378988,0.135620,0.871412,3.004759,-0.001193,6.283006
0.020000,0.284050,24.378984,0.154250,0.931507,3.004734,-0.001281,6.282981
0.020000,0.303882,24.378980,0.174082,0.991601,3.004706,-0.001370,6.282955
0.020000,0.324916,24.378975,0.195116,1.051695,3.004677,-0.001458,6.282927
0.020000,0.347152,24.378969,0.217352,1.111788,3.004646,-0.001547,6.282898
0.020000,0.370589,24.378962,0.240789,1.171880,3.004613,-0.001635,6.282868
0.020000,0.395229,24.378953,0.265429,1.231972,3.004579,-0.001723,6.282836
0.020000,0.421070,24.378944,0.291270,1.292062,3.004543,-0.001812,6.282802
0.020000,0.448113,24.378933,0.318313,1.352153,3.004505,-0.001900,6.282767
0.020000,0.476358,24.378921,0.346558,1.412242,3.004465,-0.001989,6.282731
0.020000,0.505804,24.378907,0.376004,1.472330,3.004423,-0.002077,6.282693
0.020000,0.536453,24.378891,0.406653,1.532418,3.004380,-0.002165,6.282653
0.020000,0.568303,24.378874,0.438503,1.592505,3.004335,-0.002254,6.282613
0.020000,0.601355,24.378854,0.471555,1.652590,3.004288,-0.002342,6.282570
0.020000,0.635608,24.378832,0.505808,1.712675,3.004240,-0.002430,6.282527
0.020000,0.671063,24.378808,0.541263,1.772759,3.004189,-0.002519,6.282482
0.020000,0.707720,24.378781,0.577920,1.832842,3.004137,-0.002607,6.282436
0.020000,0.745579,24.378752,0.615779,1.892923,3.004083,-0.002696,6.282388
0.020000,0.784639,24.378720,0.654839,1.953004,3.004028,-0.002784,6.282339
0.020000,0.824900,24.378685,0.695100,2.013083,3.003970,-0.002872,6.282289
0.020000,0.866364,24.378647,0.736564,2.073162,3.003911,-0.002961,6.282238
0.020000,0.909028,24.378605,0.779228,2.133239,3.003850,-0.003049,6.282185
0.020000,0.952895,24.378560,0.823095,2.193314,3.003787,-0.003138,6.282131
0.020000,0.997962,24.378511,0.868163,2.253389,3.003723,-0.003226,6.282076
0.020000,1.044232,24.378459,0.914432,2.313462,3.003656,-0.003314,6.282020
0.020000,1.091702,24.378402,0.961902,2.373534,3.003588,-0.003403,6.281962
0.020000,1.140374,24.378341,1.010575,2.433604,3.003518,-0.003491,6.281903
0.020000,1.190248,24.378276,1.060448,2.493673,3.003447,-0.003580,6.281844
0.020000,1.241322,24.378206,1.111523,2.553740,3.003373,-0.003668,6.281783
0.020000,1.293599,24.378131,1.163799,2.613806,3.003298,-0.003756,6.281721
0.020000,1.347076,24.378051,1.217276,2.673871,3.003221,-0.003845,6.281658
0.020000,1.401754,24.377965,1.271955,2.733934,3.003143,-0.003933,6.281594
0.020000,1.457634,24.377875,1.327835,2.793995,3.003062,-0.004022,6.281529
0.020000,1.514715,24.377778,1.384916,2.854054,3.002980,-0.004110,6.281463
0.020000,1.572997,24.377676,1.443198,2.914112,3.002896,-0.004199,6.281396
0.020000,1.632280,24.377568,1.502481,2.964155,2.502111,-25.039255,6.281328
0.020000,1.692164,24.377454,1.562365,2.994168,1.500649,-50.073080,6.281260
0.020000,1.752247,24.377337,1.622448,3.004152,0.499226,-50.071158,6.281193
0.020000,1.812329,24.377215,1.682530,3.004123,-0.001473,-25.034969,6.281126
0.020000,1.872411,24.377089,1.742612,3.004093,-0.001473,-0.000000,6.281059
0.020000,1.932492,24.376960,1.802693,3.004064,-0.001473,-0.000000,6.280993
0.020000,1.992572,24.376826,1.862774,3.004034,-0.001473,-0.000000,6.280927
0.020000,2.052652,24.376688,1.922854,3.004005,-0.001473,-0.000000,6.280862
0.020000,2.112732,24.376547,1.982934,3.003975,-0.001473,-0.000000,6.280798
0.020000,2.172810,24.376401,2.043013,3.003946,-0.001473,-0.000000,6.280733
0.020000,2.232889,24.376252,2.103091,3.003916,-0.001473,-0.000000,6.280670
0.020000,2.292966,24.376099,2.163169,3.003887,-0.001473,-0.000000,6.280606
0.020000,2.353043,24.375942,2.223246,3.003858,-0.001473,-0.000000,6.280544
0.020000,2.413119,24.375782,2.283322,3.003828,-0.001473,-0.000000,6.280481
0.020000,2.473195,24.375617,2.343398,3.003799,-0.001473,-0.000000,6.280419
0.020000,2.533270,24.375449,2.403474,3.003769,-0.001473,-0.000000,6.280358
0.020000,2.593345,24.375278,2.463548,3.003740,-0.001473,-0.000000,6.280297
0.020000,2.653419,24.375102,2.523623,3.003710,-0.001473,-0.000000,6.280237
0.020000,2.713492,24.374923,2.583696,3.003681,-0.001473,-0.000000,6.280177
0.020000,2.773565,24.374741,2.643769,3.003651,-0.001473,-0.000000,6.280118
0.020000,2.833637,24.374555,2.703842,3.003622,-0.001473,-0.000000,6.280059
0.020000,2.893709,24.374365,2.763914,3.003592,-0.001473,-0.000000,6.280000
0.020000,2.953779,24.374172,2.823985,3.003563,-0.001473,-0.000000,6.279942
0.020000,3.013850,24.373976,2.884056,3.003533,-0.001473,-0.000000,6.279885
0.020000,3.073920,24.373776,2.944126,3.003504,-0.001473,-0.000000,6.279828
0.020000,3.133989,24.373572,3.004195,3.003475,-0.001473,-0.000000,6.279771
0.020000,3.194057,24.373366,3.064264,3.003445,-0.001473,-0.000000,6.279715
0.020000,3.254125,24.373155,3.124332,3.003416,-0.001473,-0.000000,6.279659
0.020000,3.314193,24.372942,3.184400,3.003386,-0.001473,-0.000000,6.279604
0.020000,3.374259,24.372725,3.244467,3.003357,-0.001473,-0.000000,6.279550
