dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.130000,21.921000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.130798,21.921000,0.000998,0.039889,0.994452,-0.277423,6.283184
0.020000,0.132595,21.921000,0.002795,0.089852,2.498151,75.184951,6.283182
0.020000,0.135590,21.921000,0.005790,0.149753,2.995071,24.846023,6.283178
0.020000,0.139783,21.921000,0.009983,0.209655,2.995075,0.000221,6.283172
0.020000,0.145174,21.921000,0.015374,0.269557,2.995082,0.000309,6.283165
0.020000,0.151763,21.921000,0.021963,0.329458,2.995090,0.000398,6.283156
0.020000,0.159550,21.920999,0.029750,0.389360,2.995099,0.000486,6.283146
0.020000,0.168536,21.920999,0.038736,0.449263,2.995111,0.000574,6.283134
0.020000,0.178719,21.920998,0.048919,0.509165,2.995124,0.000663,6.283120
0.020000,0.190100,21.920998,0.060300,0.569068,2.995139,0.000751,6.283105
0.020000,0.202680,21.920996,0.072880,0.628971,2.995156,0.000840,6.283088
0.020000,0.216457,21.920995,0.086657,0.688874,2.995174,0.000928,6.283070
0.020000,0.231433,21.920993,0.101633,0.748778,2.995195,0.001016,6.283050
0.020000,0.247607,21.920991,0.117807,0.808683,2.995217,0.001105,6.283029
0.020000,0.264978,21.920988,0.135178,0.868588,2.995241,0.001193,6.283006
0.020000,0.283548,21.920984,0.153748,0.928493,2.995266,0.001281,6.282981
0.020000,0.303316,21.920980,0.173516,0.988399,2.995294,0.001370,6.282955
0.020000,0.324282,21.920975,0.194482,1.048305,2.995323,0.001458,6.282927
0.020000,0.346446,21.920969,0.216646,1.108212,2.995354,0.001547,6.282898
0.020000,0.369809,21.920962,0.240009,1.168120,2.995387,0.001635,6.282868
0.020000,0.394369,21.920954,0.264569,1.228028,2.995421,0.001723,6.282836
0.020000,0.420128,21.920944,0.290328,1.287938,2.995457,0.001812,6.282802
0.020000,0.447085,21.920933,0.317285,1.347847,2.995495,0.001900,6.282767
0.020000,0.475240,21.920921,0.345440,1.407758,2.995535,0.001989,6.282731
0.020000,0.504594,21.920907,0.374794,1.467670,2.995577,0.002077,6.282693
0.020000,0.535145,21.920892,0.405345,1.527582,2.995620,0.002165,6.282653
0.020000,0.566895,21.920874,0.437095,1.587495,2.995665,0.002254,6.282613
0.020000,0.599843,21.920854,0.470043,1.647410,2.995712,0.002342,6.282570
0.020000,0.633990,21.920833,0.504190,1.707325,2.995760,0.002430,6.282527
0.020000,0.669335,21.920809,0.539535,1.767241,2.995811,0.002519,6.282482
0.020000,0.705878,21.920782,0.576078,1.827158,2.995863,0.002607,6.282436
0.020000,0.743619,21.920753,0.613819,1.887077,2.995917,0.002696,6.282388
0.020000,0.782559,21.920721,0.652759,1.946996,2.995972,0.002784,6.282339
0.020000,0.822698,21.920686,0.692898,2.006917,2.996030,0.002872,6.282289
0.020000,0.864034,21.920648,0.734234,2.066838,2.996089,0.002961,6.282238
0.020000,0.906570,21.920606,0.776770,2.126761,2.996150,0.003049,6.282185
0.020000,0.950303,21.920561,0.820503,2.186686,2.996213,0.003138,6.282131
0.020000,0.995235,21.920513,0.865436,2.246611,2.996277,0.003226,6.282076
0.020000,1.041366,21.920460,0.911566,2.306538,2.996344,0.003314,6.282020
0.020000,1.088695,21.920404,0.958896,2.366466,2.996412,0.003403,6.281962
0.020000,1.137223,21.920343,1.007424,2.426396,2.996482,0.003491,6.281903
0.020000,1.186950,21.920278,1.057150,2.486327,2.996553,0.003580,6.281844
0.020000,1.237875,21.920208,1.108075,2.546260,2.996627,0.003668,6.281783
0.020000,1.289999,21.920133,1.160199,2.606194,2.996702,0.003756,6.281721
0.020000,1.343321,21.920053,1.213522,2.666129,2.996779,0.003845,6.281658
0.020000,1.397843,21.919968,1.268043,2.726066,2.996857,0.003933,6.281594
0.020000,1.453563,21.919878,1.323763,2.786005,2.996938,0.004022,6.281529
0.020000,1.510481,21.919782,1.380682,2.845946,2.997020,0.004110,6.281463
0.020000,1.568599,21.919680,1.438800,2.905888,2.997104,0.004199,6.281396
0.020000,1.627716,21.919572,1.497917,2.955845,2.497889,-24.960745,6.281328
0.020000,1.687432,21.919459,1.557633,2.985832,1.499351,-49.926920,6.281260
0.020000,1.747349,21.919342,1.617550,2.995848,0.500774,-49.928842,6.281193
0.020000,1.807267,21.919220,1.677468,2.995877,0.001473,-24.965031,6.281126
0.020000,1.867185,21.919095,1.737386,2.995907,0.001473,0.000000,6.281059
0.020000,1.927103,21.918965,1.797305,2.995936,0.001473,0.000000,6.280993
0.020000,1.987023,21.918832,1.857224,2.995966,0.001473,0.000000,6.280927
0.020000,2.046942,21.918695,1.917144,2.995995,0.001473,0.000000,6.280862
0.020000,2.106863,21.918554,1.977065,2.996025,0.001473,0.000000,6.280798
0.020000,2.166783,21.918409,2.036986,2.996054,0.001473,0.000000,6.280733
0.020000,2.226705,21.918260,2.096907,2.996084,0.001473,0.000000,6.280670
0.020000,2.286627,21.918107,2.156830,2.996113,0.001473,0.000000,6.280606
0.020000,2.346550,21.917951,2.216752,2.996142,0.001473,0.000000,6.280544
0.020000,2.406473,21.917791,2.276676,2.996172,0.001473,0.000000,6.280481
0.020000,2.466397,21.917627,2.336600,2.996201,0.001473,0.000000,6.280419
0.020000,2.526321,21.917459,2.396525,2.996231,0.001473,0.000000,6.280358
0.020000,2.586246,21.917288,2.456450,2.996260,0.001473,0.000000,6.280297
0.020000,2.646172,21.917113,2.516376,2.996290,0.001473,0.000000,6.280237
0.020000,2.706098,21.916935,2.576302,2.996319,0.001473,0.000000,6.280177
0.020000,2.766024,21.916753,2.636229,2.996349,0.001473,0.000000,6.280118
0.020000,2.825952,21.916567,2.696156,2.996378,0.001473,0.000000,6.280059
0.020000,2.885880,21.916378,2.756085,2.996408,0.001473,0.000000,6.280000
0.020000,2.945808,21.916185,2.816013,2.996437,0.001473,0.000000,6.279942
0.020000,3.005737,21.915989,2.875943,2.996467,0.001473,0.000000,6.279885
0.020000,3.065667,21.915790,2.935873,2.996496,0.001473,0.000000,6.279828
0.020000,3.125597,21.915587,2.995803,2.996525,0.001473,0.000000,6.279771
0.020000,3.185527,21.915380,3.055734,2.996555,0.001473,0.000000,6.279715
0.020000,3.245459,21.915171,3.115666,2.996584,0.001473,0.000000,6.279659
0.020000,3.305391,21.914958,3.175598,2.996614,0.001473,0.000000,6.279604
0.020000,3.365323,21.914742,3.235531,2.996643,0.001473,0.000000,6.279550
0.020000,3.425256,21.914522,3.295464,2.996673,0.001473,0.000000,6.279496
0.020000,3.485190,21.914299,3.355399,2.996702,0.001473,0.000000,6.279442
0.020000,3.545124,21.914073,3.415333,2.996732,0.001473,0.000000,6.279389
0.020000,3.605059,21.913844,3.475268,2.996761,0.001473,0.000000,6.279336
0.020000,3.664994,21.913612,3.535204,2.996791,0.001473,0.000000,6.279284
0.020000,3.724930,21.913377,3.595141,2.996820,0.001473,0.000000,6.279232
0.020000,3.784867,21.913138,3.655078,2.996850,0.001473,0.000000,6.279181
0.020000,3.844804,21.912896,3.715015,2.996879,0.001473,0.000000,6.279130
0.020000,3.904741,21.912652,3.774953,2.996909,0.001473,0.000000,6.279080
0.020000,3.964680,21.912404,3.834892,2.996938,0.001473,0.000000,6.279030
0.020000,4.024619,21.912154,3.894831,2.996967,0.001473,0.000000,6.278981
0.020000,4.084558,21.911900,3.954771,2.996997,0.001473,0.000000,6.278932
0.020000,4.144498,21.911644,4.014712,2.997026,0.001473,0.000000,6.278883
0.020000,4.204438,21.911385,4.074653,2.997056,0.001473,0.000000,6.278835
0.020000,4.264380,21.911122,4.134595,2.997085,0.001473,0.000000,6.278788
0.020000,4.324321,21.910857,4.194537,2.997115,0.001473,0.000000,6.278741
0.020000,4.384264,21.910590,4.254480,2.997144,0.001473,0.000000,6.278695
0.020000,4.444206,21.910319,4.314423,2.997174,0.001473,0.000000,6.278649
0.020000,4.504150,21.910046,4.374367,2.997203,0.001473,0.000000,6.278603
0.020000,4.564094,21.909770,4.434312,2.997233,0.001473,0.000000,6.278558
0.020000,4.624039,21.909491,4.494257,2.997262,0.001473,0.000000,6.278513
0.020000,4.683984,21.909210,4.554203,2.997292,0.001473,0.000000,6.278469
0.020000,4.743929,21.908926,4.614150,2.997321,0.001473,0.000000,6.278426
0.020000,4.803876,21.908639,4.674097,2.997350,0.001473,0.000000,6.278383
0.020000,4.863823,21.908350,4.734044,2.997380,0.001473,0.000000,6.278340
0.020000,4.923770,21.908058,4.793992,2.997409,0.001473,0.000000,6.278298
0.020000,4.983718,21.907764,4.853941,2.997439,0.001473,0.000000,6.278256
0.020000,5.043667,21.907467,4.913891,2.997468,0.001473,0.000000,6.278215
0.020000,5.103616,21.907168,4.973840,2.997498,0.001473,0.000000,6.278174
0.020000,5.163566,21.906866,5.033791,2.997527,0.001473,0.000000,6.278134
0.020000,5.223516,21.906562,5.093742,2.997557,0.001473,0.000000,6.278094
0.020000,5.283467,21.906256,5.153694,2.997586,0.001473,0.000000,6.278055
0.020000,5.343419,21.905947,5.213646,2.997616,0.001473,0.000000,6.278016
0.020000,5.403371,21.905636,5.273599,2.997645,0.001473,0.000000,6.277978
0.020000,5.463323,21.905323,5.333553,2.997675,0.001473,0.000000,6.277940
0.020000,5.523277,21.905007,5.393507,2.997704,0.001473,0.000000,6.277903
0.020000,5.583230,21.904689,5.453461,2.997734,0.001473,0.000000,6.277866
0.020000,5.643185,21.904369,5.513417,2.997763,0.001473,0.000000,6.277829
