dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.130000,23.150000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.130799,23.150000,0.001000,0.060000,2.000000,50.000000,6.283184
0.020000,0.132599,23.150000,0.002800,0.120000,3.000000,50.000000,6.283182
0.020000,0.135599,23.150000,0.005800,0.180000,3.000000,0.000000,6.283178
0.020000,0.139799,23.150000,0.010000,0.240000,3.000000,0.000000,6.283172
0.020000,0.145199,23.150000,0.015400,0.300000,3.000000,0.000000,6.283165
0.020000,0.151799,23.150000,0.022000,0.360000,3.000000,0.000000,6.283156
0.020000,0.159599,23.149999,0.029800,0.420000,3.000000,-0.000000,6.283146
0.020000,0.168599,23.149999,0.038800,0.480000,3.000000,0.000000,6.283134
0.020000,0.178799,23.149998,0.049000,0.540000,3.000000,0.000000,6.283120
0.020000,0.190199,23.149998,0.060400,0.600000,3.000000,-0.000000,6.283105
0.020000,0.202799,23.149996,0.073000,0.660000,3.000000,0.000000,6.283088
0.020000,0.216599,23.149995,0.086800,0.720000,3.000000,-0.000000,6.283070
0.020000,0.231599,23.149993,0.101800,0.780000,3.000000,0.000000,6.283050
0.020000,0.247799,23.149991,0.118000,0.840000,3.000000,-0.000000,6.283029
0.020000,0.265199,23.149988,0.135400,0.900000,3.000000,0.000000,6.283006
0.020000,0.283799,23.149984,0.154000,0.960000,3.000000,0.000000,6.282981
0.020000,0.303599,23.149980,0.173800,1.020000,3.000000,0.000000,6.282955
0.020000,0.324599,23.149975,0.194800,1.080000,3.000000,0.000000,6.282927
0.020000,0.346799,23.149969,0.217000,1.140000,3.000000,-0.000000,6.282898
0.020000,0.370199,23.149962,0.240400,1.200000,3.000000,0.000000,6.282868
0.020000,0.394799,23.149954,0.265000,1.260000,3.000000,0.000000,6.282836
0.020000,0.420599,23.149944,0.290800,1.320000,3.000000,0.000000,6.282802
0.020000,0.447599,23.149933,0.317800,1.380000,3.000000,-0.000000,6.282767
0.020000,0.475799,23.149921,0.346000,1.440000,3.000000,0.000000,6.282731
0.020000,0.505199,23.149907,0.375400,1.500000,3.000000,0.000000,6.282693
0.020000,0.535799,23.149891,0.406000,1.560000,3.000000,0.000000,6.282653
0.020000,0.567599,23.149874,0.437800,1.620000,3.000000,0.000000,6.282613
0.020000,0.600599,23.149854,0.470800,1.680000,3.000000,-0.000000,6.282570
0.020000,0.634799,23.149832,0.505000,1.740000,3.000000,0.000000,6.282527
0.020000,0.670199,23.149808,0.540400,1.800000,3.000000,0.000000,6.282482
0.020000,0.706799,23.149782,0.577000,1.860000,3.000000,0.000000,6.282436
0.020000,0.744599,23.149752,0.614800,1.920000,3.000000,0.000000,6.282388
0.020000,0.783599,23.149720,0.653800,1.980000,3.000000,0.000000,6.282339
0.020000,0.823799,23.149685,0.694000,2.040000,3.000000,0.000000,6.282289
0.020000,0.865199,23.149647,0.735400,2.100000,3.000000,0.000000,6.282238
0.020000,0.907799,23.149606,0.778000,2.160000,3.000000,0.000000,6.282185
0.020000,0.951599,23.149561,0.821800,2.220000,3.000000,0.000000,6.282131
0.020000,0.996599,23.149512,0.866800,2.280000,3.000000,-0.000000,6.282076
0.020000,1.042799,23.149460,0.913000,2.340000,3.000000,0.000000,6.282020
0.020000,1.090199,23.149403,0.960400,2.400000,3.000000,0.000000,6.281962
0.020000,1.138799,23.149342,1.009000,2.460000,3.000000,0.000000,6.281903
0.020000,1.188599,23.149277,1.058800,2.520000,3.000000,0.000000,6.281844
0.020000,1.239599,23.149207,1.109800,2.580000,3.000000,0.000000,6.281783
0.020000,1.291799,23.149132,1.162000,2.640000,3.000000,0.000000,6.281721
0.020000,1.345199,23.149052,1.215400,2.700000,3.000000,0.000000,6.281658
0.020000,1.399799,23.148967,1.270000,2.760000,3.000000,-0.000000,6.281594
0.020000,1.455598,23.148876,1.325800,2.820000,3.000000,0.000000,6.281529
0.020000,1.512598,23.148780,1.382800,2.880000,3.000000,0.000000,6.281463
0.020000,1.570798,23.148678,1.441000,2.940000,3.000000,0.000000,6.281396
0.020000,1.629998,23.148570,1.500200,2.980000,2.000000,-50.000000,6.281328
0.020000,1.689798,23.148457,1.560000,3.000000,1.000000,-50.000000,6.281260
0.020000,1.749798,23.148339,1.620000,3.000000,0.000000,-50.000000,6.281193
0.020000,1.809798,23.148218,1.680000,3.000000,0.000000,0.000000,6.281126
0.020000,1.869798,23.148092,1.740000,3.000000,0.000000,0.000000,6.281059
0.020000,1.929798,23.147963,1.800000,3.000000,0.000000,0.000000,6.280993
0.020000,1.989797,23.147829,1.860000,3.000000,0.000000,0.000000,6.280927
0.020000,2.049797,23.147692,1.920000,3.000000,0.000000,0.000000,6.280862
0.020000,2.109797,23.147550,1.980000,3.000000,0.000000,0.000000,6.280798
0.020000,2.169797,23.147405,2.040000,3.000000,0.000000,0.000000,6.280733
0.020000,2.229797,23.147256,2.100000,3.000000,0.000000,0.000000,6.280670
0.020000,2.289797,23.147103,2.160000,3.000000,0.000000,0.000000,6.280606
0.020000,2.349796,23.146947,2.220000,3.000000,0.000000,0.000000,6.280544
0.020000,2.409796,23.146786,2.280000,3.000000,0.000000,0.000000,6.280481
0.020000,2.469796,23.146622,2.340000,3.000000,0.000000,0.000000,6.280419
0.020000,2.529796,23.146454,2.400000,3.000000,0.000000,0.000000,6.280358
0.020000,2.589795,23.146283,2.460000,3.000000,0.000000,0.000000,6.280297
0.020000,2.649795,23.146108,2.520000,3.000000,0.000000,0.000000,6.280237
0.020000,2.709795,23.145929,2.580000,3.000000,0.000000,0.000000,6.280177
0.020000,2.769795,23.145747,2.640000,3.000000,0.000000,0.000000,6.280118
0.020000,2.829794,23.145561,2.700000,3.000000,0.000000,0.000000,6.280059
0.020000,2.889794,23.145372,2.760000,3.000000,0.000000,0.000000,6.280000
0.020000,2.949794,23.145179,2.820000,3.000000,0.000000,0.000000,6.279942
0.020000,3.009793,23.144982,2.880000,3.000000,0.000000,0.000000,6.279885
0.020000,3.069793,23.144783,2.940000,3.000000,0.000000,0.000000,6.279828
0.020000,3.129793,23.144580,3.000000,3.000000,0.000000,0.000000,6.279771
0.020000,3.189792,23.144373,3.060000,3.000000,0.000000,0.000000,6.279715
0.020000,3.249792,23.144163,3.120000,3.000000,0.000000,0.000000,6.279659
0.020000,3.309792,23.143950,3.180000,3.000000,0.000000,0.000000,6.279604
0.020000,3.369791,23.143733,3.240000,3.000000,0.000000,0.000000,6.279550
0.020000,3.429791,23.143514,3.300000,3.000000,0.000000,0.000000,6.279496
0.020000,3.489790,23.143291,3.360000,3.000000,0.000000,0.000000,6.279442
0.020000,3.549790,23.143064,3.420000,3.000000,0.000000,0.000000,6.279389
0.020000,3.609790,23.142835,3.480000,3.000000,0.000000,0.000000,6.279336
0.020000,3.669789,23.142603,3.540000,3.000000,0.000000,0.000000,6.279284
0.020000,3.729789,23.142367,3.600000,3.000000,0.000000,0.000000,6.279232
0.020000,3.789788,23.142128,3.660000,3.000000,0.000000,0.000000,6.279181
0.020000,3.849788,23.141886,3.720000,3.000000,0.000000,0.000000,6.279130
0.020000,3.909787,23.141642,3.780000,3.000000,0.000000,0.000000,6.279080
0.020000,3.969787,23.141394,3.840000,3.000000,0.000000,0.000000,6.279030
0.020000,4.029786,23.141143,3.900000,3.000000,0.000000,0.000000,6.278981
0.020000,4.089786,23.140889,3.960000,3.000000,0.000000,0.000000,6.278932
0.020000,4.149785,23.140632,4.020000,3.000000,0.000000,0.000000,6.278883
0.020000,4.209785,23.140373,4.080000,3.000000,0.000000,0.000000,6.278835
0.020000,4.269784,23.140111,4.140000,3.000000,0.000000,0.000000,6.278788
0.020000,4.329783,23.139845,4.200000,3.000000,0.000000,0.000000,6.278741
0.020000,4.389783,23.139577,4.260000,3.000000,0.000000,0.000000,6.278695
0.020000,4.449782,23.139306,4.320000,3.000000,0.000000,0.000000,6.278649
0.020000,4.509782,23.139033,4.380000,3.000000,0.000000,0.000000,6.278603
0.020000,4.569781,23.138757,4.440000,3.000000,0.000000,0.000000,6.278558
0.020000,4.629780,23.138478,4.500000,3.000000,0.000000,0.000000,6.278513
0.020000,4.689780,23.138196,4.560000,3.000000,0.000000,0.000000,6.278469
0.020000,4.749779,23.137912,4.620000,3.000000,0.000000,0.000000,6.278426
0.020000,4.809778,23.137625,4.680000,3.000000,0.000000,0.000000,6.278383
0.020000,4.869778,23.137335,4.740000,3.000000,0.000000,0.000000,6.278340
0.020000,4.929777,23.137043,4.800000,3.000000,0.000000,0.000000,6.278298
0.020000,4.989776,23.136749,4.860000,3.000000,0.000000,0.000000,6.278256
0.020000,5.049775,23.136452,4.920000,3.000000,0.000000,0.000000,6.278215
0.020000,5.109775,23.136152,4.980000,3.000000,0.000000,0.000000,6.278174
0.020000,5.169774,23.135851,5.040000,3.000000,0.000000,0.000000,6.278134
0.020000,5.229773,23.135546,5.100000,3.000000,0.000000,0.000000,6.278094
0.020000,5.289772,23.135240,5.160000,3.000000,0.000000,0.000000,6.278055
0.020000,5.349771,23.134931,5.220000,3.000000,0.000000,0.000000,6.278016
0.020000,5.409771,23.134619,5.280000,3.000000,0.000000,0.000000,6.277978
0.020000,5.469770,23.134306,5.340000,3.000000,0.000000,0.000000,6.277940
0.020000,5.529769,23.133990,5.400000,3.000000,0.000000,0.000000,6.277903
0.020000,5.589768,23.133672,5.460000,3.000000,0.000000,0.000000,6.277866
0.020000,5.649767,23.133352,5.520000,3.000000,0.000000,0.000000,6.277829
0.020000,5.709766,23.133029,5.580000,3.000000,0.000000,0.000000,6.277793
