dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.980057,25.129000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.980853,25.129000,0.000997,0.039827,0.991371,-0.431429,0.000003
0.020000,0.982645,25.129000,0.002789,0.089612,2.489218,74.892319,0.000009
0.020000,0.985832,25.129000,0.005975,0.159310,3.484915,49.784848,0.000021
0.020000,0.990810,25.129000,0.010953,0.248923,4.480627,49.785604,0.000038
0.020000,0.997780,25.129001,0.017923,0.348493,4.978516,24.894435,0.000063
0.020000,1.006741,25.129001,0.026885,0.448065,4.978579,0.003161,0.000094
0.020000,1.017694,25.129003,0.037837,0.547638,4.978660,0.004065,0.000133
0.020000,1.030638,25.129005,0.050782,0.647213,4.978759,0.004968,0.000178
0.020000,1.045574,25.129008,0.065717,0.746790,4.978877,0.005871,0.000230
0.020000,1.062501,25.129012,0.082645,0.846371,4.979012,0.006775,0.000289
0.020000,1.081420,25.129018,0.101564,0.945954,4.979166,0.007678,0.000355
0.020000,1.102331,25.129026,0.122475,1.045541,4.979338,0.008582,0.000428
0.020000,1.125234,25.129037,0.145377,1.145131,4.979527,0.009485,0.000507
0.020000,1.150128,25.129051,0.170272,1.244726,4.979735,0.010389,0.000593
0.020000,1.177015,25.129068,0.197158,1.344325,4.979961,0.011292,0.000685
0.020000,1.205893,25.129089,0.226037,1.443929,4.980205,0.012196,0.000784
0.020000,1.236764,25.129115,0.256908,1.543539,4.980467,0.013100,0.000889
0.020000,1.269627,25.129146,0.289771,1.643154,4.980747,0.014003,0.001000
0.020000,1.304483,25.129183,0.324626,1.742774,4.981045,0.014907,0.001118
0.020000,1.341331,25.129226,0.361474,1.842402,4.981361,0.015811,0.001242
0.020000,1.380171,25.129277,0.400315,1.942036,4.981696,0.016715,0.001371
0.020000,1.421005,25.129336,0.441149,2.041677,4.982048,0.017619,0.001507
0.020000,1.463831,25.129403,0.483975,2.141325,4.982418,0.018523,0.001648
0.020000,1.508651,25.129480,0.528795,2.240981,4.982807,0.019427,0.001795
0.020000,1.555464,25.129568,0.575608,2.340645,4.983214,0.020331,0.001947
0.020000,1.604270,25.129667,0.624414,2.440318,4.983638,0.021235,0.002104
0.020000,1.655070,25.129778,0.675214,2.540000,4.984081,0.022140,0.002267
0.020000,1.707864,25.129902,0.728008,2.639691,4.984542,0.023044,0.002435
0.020000,1.762651,25.130040,0.782796,2.739391,4.985021,0.023948,0.002608
0.020000,1.819433,25.130193,0.839578,2.839101,4.985518,0.024853,0.002785
0.020000,1.878209,25.130362,0.898354,2.938822,4.986033,0.025757,0.002967
0.020000,1.938980,25.130548,0.959125,3.038553,4.986566,0.026662,0.003153
0.020000,2.001746,25.130752,1.021891,3.138296,4.987118,0.027566,0.003344
0.020000,2.066506,25.130975,1.086652,3.238049,4.987687,0.028471,0.003538
0.020000,2.133262,25.131218,1.153408,3.337815,4.988275,0.029376,0.003736
0.020000,2.202013,25.131482,1.222160,3.437593,4.988880,0.030280,0.003938
0.020000,2.272760,25.131768,1.292908,3.537383,4.989504,0.031185,0.004144
0.020000,2.345504,25.132077,1.365652,3.637186,4.990146,0.032089,0.004352
0.020000,2.420243,25.132410,1.440392,3.737002,4.990806,0.032994,0.004564
0.020000,2.496979,25.132768,1.517128,3.836831,4.991484,0.033899,0.004778
0.020000,2.575711,25.133153,1.595862,3.936675,4.992180,0.034803,0.004995
0.020000,2.656441,25.133565,1.676592,4.036533,4.992894,0.035708,0.005214
