dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.980057,22.671000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.980860,22.671000,0.001003,0.040173,1.008629,0.431429,0.000003
0.020000,0.982668,22.671000,0.002811,0.090388,2.510782,75.107681,0.000009
0.020000,0.985882,22.671000,0.006025,0.160690,3.515085,50.215152,0.000021
0.020000,0.990904,22.671000,0.011047,0.251077,4.519373,50.214396,0.000038
0.020000,0.997934,22.671001,0.018077,0.351507,5.021484,25.105565,0.000063
0.020000,1.006972,22.671001,0.027115,0.451935,5.021421,-0.003161,0.000094
0.020000,1.018020,22.671003,0.038163,0.552362,5.021340,-0.004065,0.000133
0.020000,1.031075,22.671005,0.051218,0.652787,5.021241,-0.004968,0.000178
0.020000,1.046140,22.671008,0.066283,0.753210,5.021123,-0.005871,0.000230
0.020000,1.063212,22.671012,0.083355,0.853629,5.020988,-0.006775,0.000289
0.020000,1.082293,22.671018,0.102436,0.954046,5.020834,-0.007678,0.000355
0.020000,1.103382,22.671026,0.123525,1.054459,5.020662,-0.008582,0.000428
0.020000,1.126480,22.671037,0.146623,1.154869,5.020473,-0.009485,0.000507
0.020000,1.151585,22.671051,0.171728,1.255274,5.020265,-0.010389,0.000593
0.020000,1.178699,22.671068,0.198842,1.355675,5.020039,-0.011292,0.000685
0.020000,1.207820,22.671090,0.227963,1.456071,5.019795,-0.012196,0.000784
0.020000,1.238949,22.671116,0.259092,1.556461,5.019533,-0.013100,0.000889
0.020000,1.272086,22.671147,0.292229,1.656846,5.019253,-0.014003,0.001000
0.020000,1.307231,22.671184,0.327374,1.757226,5.018955,-0.014907,0.001118
0.020000,1.344383,22.671228,0.364526,1.857598,5.018639,-0.015811,0.001242
0.020000,1.383542,22.671279,0.403685,1.957964,5.018304,-0.016715,0.001371
0.020000,1.424708,22.671339,0.444851,2.058323,5.017952,-0.017619,0.001507
0.020000,1.467882,22.671407,0.488025,2.158675,5.017582,-0.018523,0.001648
0.020000,1.513062,22.671484,0.533205,2.259019,5.017193,-0.019427,0.001795
0.020000,1.560249,22.671573,0.580392,2.359355,5.016786,-0.020331,0.001947
0.020000,1.609443,22.671672,0.629586,2.459682,5.016362,-0.021236,0.002104
0.020000,1.660642,22.671784,0.680786,2.560000,5.015919,-0.022140,0.002267
0.020000,1.713849,22.671909,0.733992,2.660309,5.015458,-0.023044,0.002435
0.020000,1.769061,22.672049,0.789204,2.760609,5.014979,-0.023949,0.002608
0.020000,1.826278,22.672203,0.846422,2.860899,5.014482,-0.024853,0.002785
0.020000,1.885502,22.672373,0.905646,2.961178,5.013967,-0.025757,0.002967
0.020000,1.946730,22.672561,0.966875,3.061447,5.013434,-0.026662,0.003153
0.020000,2.009964,22.672766,1.030109,3.161704,5.012882,-0.027566,0.003344
0.020000,2.075203,22.672990,1.095348,3.261951,5.012313,-0.028471,0.003538
0.020000,2.142446,22.673235,1.162592,3.362185,5.011725,-0.029376,0.003736
0.020000,2.211694,22.673501,1.231840,3.462407,5.011120,-0.030280,0.003938
0.020000,2.282945,22.673789,1.303092,3.562617,5.010496,-0.031185,0.004144
0.020000,2.356201,22.674100,1.376348,3.662814,5.009854,-0.032089,0.004352
0.020000,2.431460,22.674435,1.451608,3.762998,5.009194,-0.032994,0.004564
0.020000,2.508723,22.674796,1.528872,3.863169,5.008516,-0.033899,0.004778
0.020000,2.587988,22.675184,1.608138,3.963325,5.007820,-0.034803,0.004995
0.020000,2.669257,22.675598,1.689408,4.063467,5.007106,-0.035708,0.005214
0.020000,2.752527,22.676042,1.772680,4.163595,5.006374,-0.036612,0.005435
0.020000,2.837800,22.676515,1.857954,4.263707,5.005624,-0.037517,0.005658
0.020000,2.925075,22.677019,1.945230,4.363804,5.004855,-0.038421,0.005883
0.020000,3.014351,22.677554,2.034507,4.463886,5.004069,-0.039326,0.006109
0.020000,3.105628,22.678122,2.125787,4.563951,5.003264,-0.040230,0.006336
0.020000,3.198906,22.678724,2.219067,4.664000,5.002441,-0.041135,0.006564
0.020000,3.294185,22.679360,2.314347,4.764032,5.001601,-0.042039,0.006792
0.020000,3.391463,22.680032,2.411628,4.864047,5.000742,-0.042943,0.007021
0.020000,3.490742,22.680740,2.510909,4.964044,4.999865,-0.043847,0.007249
0.020000,3.592019,22.681486,2.612189,5.064023,4.998970,-0.044751,0.007477
0.020000,3.695296,22.682270,2.715469,5.163984,4.998057,-0.045655,0.007705
0.020000,3.800571,22.683093,2.820748,5.263927,4.997126,-0.046559,0.007932
0.020000,3.907845,22.683956,2.928025,5.363850,4.996176,-0.047463,0.008157
0.020000,4.017116,22.684860,3.037300,5.463755,4.995209,-0.048367,0.008381
0.020000,4.128385,22.685805,3.148573,5.563639,4.994224,-0.049271,0.008603
0.020000,4.241651,22.686792,3.261843,5.663504,4.993220,-0.050174,0.008823
0.020000,4.356913,22.687821,3.377110,5.763348,4.992198,-0.051078,0.009040
0.020000,4.474172,22.688894,3.494373,5.863171,4.991159,-0.051981,0.009254
0.020000,4.593426,22.690010,3.613632,5.962973,4.990101,-0.052885,0.009465
0.020000,4.714675,22.691170,3.734887,6.062753,4.989025,-0.053788,0.009673
0.020000,4.837920,22.692375,3.858138,6.162512,4.987932,-0.054691,0.009876
0.020000,4.963158,22.693625,3.983383,6.262248,4.986820,-0.055595,0.010076
0.020000,5.090391,22.694919,4.110622,6.361962,4.985690,-0.056498,0.010270
0.020000,5.219617,22.696259,4.239855,6.461653,4.984542,-0.057401,0.010460
0.020000,5.350836,22.697643,4.371081,6.561320,4.983376,-0.058304,0.010644
0.020000,5.484048,22.699073,4.504301,6.660964,4.982191,-0.059208,0.010823
0.020000,5.619252,22.700548,4.639512,6.760584,4.980989,-0.060111,0.010995
0.020000,5.756447,22.702068,4.776716,6.860179,4.979769,-0.061014,0.011160
0.020000,5.895633,22.703633,4.915911,6.959750,4.978531,-0.061917,0.011319
0.020000,6.036810,22.705242,5.057097,7.059295,4.977274,-0.062820,0.011470
0.020000,6.179976,22.706895,5.200273,7.158815,4.976000,-0.063724,0.011614
0.020000,6.325133,22.708590,5.345439,7.258310,4.974707,-0.064627,0.011749
0.020000,6.472278,22.710329,5.492595,7.357778,4.973397,-0.065530,0.011876
0.020000,6.621412,22.712109,5.641739,7.457219,4.972068,-0.066434,0.011993
0.020000,6.772533,22.713930,5.792872,7.556633,4.970721,-0.067338,0.012101
0.020000,6.925643,22.715790,5.945992,7.656020,4.969356,-0.068241,0.012199
0.020000,7.080739,22.717689,6.101100,7.755380,4.967973,-0.069145,0.012287
0.020000,7.237621,22.719623,6.257994,7.844706,4.466296,-25.083872,0.012363
0.020000,7.395889,22.721585,6.416274,7.913997,3.464563,-50.086653,0.012428
0.020000,7.555141,22.723569,6.575539,7.963261,2.463200,-50.068126,0.012481
0.020000,7.714979,22.725567,6.735389,7.992505,1.462216,-50.049237,0.012522
0.020000,7.875001,22.727574,6.895424,8.001738,0.461613,-50.030108,0.012550
0.020000,8.035008,22.729583,7.055443,8.000966,-0.038567,-25.009042,0.012566
0.020000,8.194999,22.731594,7.215447,8.000195,-0.038567,0.000001,0.012569
0.020000,8.354975,22.733605,7.375436,7.999424,-0.038567,-0.000000,0.012560
0.020000,8.514935,22.735612,7.535409,7.998652,-0.038567,-0.000001,0.012538
