dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.980057,23.900000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.980857,23.900000,0.001000,0.060000,2.000000,50.000000,0.000003
0.020000,0.982657,23.900000,0.002800,0.120000,3.000000,50.000000,0.000009
0.020000,0.985857,23.900000,0.006000,0.200000,4.000000,50.000000,0.000021
0.020000,0.990857,23.900000,0.011000,0.300000,5.000000,50.000000,0.000038
0.020000,0.997857,23.900001,0.018000,0.400000,5.000000,0.000000,0.000063
0.020000,1.006857,23.900001,0.027000,0.500000,5.000000,-0.000000,0.000094
0.020000,1.017857,23.900003,0.038000,0.600000,5.000000,0.000000,0.000133
0.020000,1.030857,23.900005,0.051000,0.700000,5.000000,0.000000,0.000178
0.020000,1.045857,23.900008,0.066000,0.800000,5.000000,0.000000,0.000230
0.020000,1.062857,23.900012,0.083000,0.900000,5.000000,-0.000000,0.000289
0.020000,1.081857,23.900018,0.102000,1.000000,5.000000,0.000000,0.000355
0.020000,1.102857,23.900026,0.123000,1.100000,5.000000,0.000000,0.000428
0.020000,1.125857,23.900037,0.146000,1.200000,5.000000,-0.000000,0.000507
0.020000,1.150857,23.900051,0.171000,1.300000,5.000000,0.000000,0.000593
0.020000,1.177857,23.900068,0.198000,1.400000,5.000000,-0.000000,0.000685
0.020000,1.206857,23.900089,0.227000,1.500000,5.000000,0.000000,0.000784
0.020000,1.237857,23.900115,0.258000,1.600000,5.000000,0.000000,0.000889
0.020000,1.270857,23.900146,0.291000,1.700000,5.000000,-0.000000,0.001000
0.020000,1.305857,23.900184,0.326000,1.800000,5.000000,0.000000,0.001118
0.020000,1.342857,23.900227,0.363000,1.900000,5.000000,-0.000000,0.001242
0.020000,1.381857,23.900278,0.402000,2.000000,5.000000,0.000000,0.001371
0.020000,1.422857,23.900337,0.443000,2.100000,5.000000,0.000000,0.001507
0.020000,1.465857,23.900405,0.486000,2.200000,5.000000,0.000000,0.001648
0.020000,1.510856,23.900482,0.531000,2.300000,5.000000,-0.000000,0.001795
0.020000,1.557856,23.900570,0.578000,2.400000,5.000000,0.000000,0.001947
0.020000,1.606856,23.900670,0.627000,2.500000,5.000000,0.000000,0.002104
0.020000,1.657856,23.900781,0.678000,2.600000,5.000000,0.000000,0.002267
0.020000,1.710856,23.900906,0.731000,2.700000,5.000000,0.000000,0.002435
0.020000,1.765856,23.901044,0.786000,2.800000,5.000000,-0.000000,0.002608
0.020000,1.822856,23.901198,0.843000,2.900000,5.000000,0.000000,0.002785
0.020000,1.881855,23.901368,0.902000,3.000000,5.000000,0.000000,0.002967
0.020000,1.942855,23.901554,0.963000,3.100000,5.000000,0.000000,0.003153
0.020000,2.005855,23.901759,1.026000,3.200000,5.000000,0.000000,0.003344
0.020000,2.070854,23.901983,1.091000,3.300000,5.000000,-0.000000,0.003538
0.020000,2.137854,23.902226,1.158000,3.400000,5.000000,0.000000,0.003736
0.020000,2.206853,23.902491,1.227000,3.500000,5.000000,0.000000,0.003938
0.020000,2.277853,23.902778,1.298000,3.600000,5.000000,0.000000,0.004144
0.020000,2.350852,23.903088,1.371000,3.700000,5.000000,0.000000,0.004352
0.020000,2.425851,23.903423,1.446000,3.800000,5.000000,-0.000000,0.004564
0.020000,2.502851,23.903782,1.523000,3.900000,5.000000,0.000000,0.004778
0.020000,2.581850,23.904168,1.602000,4.000000,5.000000,0.000000,0.004995
0.020000,2.662849,23.904582,1.683000,4.100000,5.000000,-0.000000,0.005214
0.020000,2.745847,23.905024,1.766000,4.200000,5.000000,0.000000,0.005435
0.020000,2.830846,23.905495,1.851000,4.300000,5.000000,-0.000000,0.005658
0.020000,2.917845,23.905997,1.938000,4.400000,5.000000,0.000000,0.005883
0.020000,3.006843,23.906531,2.027000,4.500000,5.000000,-0.000000,0.006109
0.020000,3.097841,23.907097,2.118000,4.600000,5.000000,0.000000,0.006336
0.020000,3.190839,23.907697,2.211000,4.700000,5.000000,0.000000,0.006564
0.020000,3.285837,23.908332,2.306000,4.800000,5.000000,-0.000000,0.006792
0.020000,3.382835,23.909001,2.403000,4.900000,5.000000,0.000000,0.007021
0.020000,3.481832,23.909708,2.502000,5.000000,5.000000,-0.000000,0.007249
0.020000,3.582830,23.910452,2.603000,5.100000,5.000000,0.000000,0.007477
0.020000,3.685827,23.911233,2.706000,5.200000,5.000000,0.000000,0.007705
0.020000,3.790824,23.912054,2.811000,5.300000,5.000000,-0.000000,0.007932
0.020000,3.897820,23.912915,2.918000,5.400000,5.000000,0.000000,0.008157
0.020000,4.006816,23.913817,3.027000,5.500000,5.000000,-0.000000,0.008381
0.020000,4.117812,23.914759,3.138000,5.600000,5.000000,0.000000,0.008603
0.020000,4.230808,23.915744,3.251000,5.700000,5.000000,0.000000,0.008823
