dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750068,24.729000,0.000200,0.020000,1.000000,50.000000,6.283185
0.020000,1.750871,24.729000,0.001004,0.040192,1.009576,0.478805,6.283182
0.020000,1.752680,24.729000,0.002812,0.090431,2.511973,75.119847,6.283175
0.020000,1.755895,24.729000,0.006028,0.160766,3.516770,50.239868,6.283162
0.020000,1.760919,24.729000,0.011052,0.251198,4.521580,50.240493,6.283143
0.020000,1.767953,24.728999,0.018085,0.351678,5.024012,25.121597,6.283116
0.020000,1.776996,24.728999,0.027128,0.452160,5.024064,0.002614,6.283080
0.020000,1.788049,24.728997,0.038181,0.552642,5.024132,0.003361,6.283037
0.020000,1.801111,24.728995,0.051244,0.653126,5.024214,0.004107,6.282987
0.020000,1.816184,24.728991,0.066316,0.753613,5.024311,0.004854,6.282928
0.020000,1.833266,24.728987,0.083398,0.854101,5.024423,0.005601,6.282861
0.020000,1.852358,24.728980,0.102490,0.954592,5.024550,0.006348,6.282786
0.020000,1.873459,24.728970,0.123592,1.055086,5.024692,0.007095,6.282704
0.020000,1.896571,24.728958,0.146703,1.155583,5.024849,0.007843,6.282613
0.020000,1.921693,24.728943,0.171825,1.256083,5.025020,0.008590,6.282514
0.020000,1.948824,24.728923,0.198957,1.356587,5.025207,0.009337,6.282407
0.020000,1.977966,24.728898,0.228099,1.457096,5.025409,0.010085,6.282291
0.020000,2.009118,24.728869,0.259251,1.557608,5.025626,0.010832,6.282167
0.020000,2.042281,24.728833,0.292413,1.658125,5.025857,0.011580,6.282035
0.020000,2.077454,24.728790,0.327586,1.758647,5.026104,0.012327,6.281894
0.020000,2.114637,24.728739,0.364770,1.859175,5.026365,0.013075,6.281745
0.020000,2.153831,24.728679,0.403964,1.959708,5.026642,0.013823,6.281587
0.020000,2.195036,24.728610,0.445169,2.060246,5.026933,0.014571,6.281420
0.020000,2.238252,24.728530,0.488385,2.160791,5.027239,0.015319,6.281245
0.020000,2.283479,24.728438,0.533612,2.261342,5.027561,0.016068,6.281060
0.020000,2.330717,24.728333,0.580850,2.361900,5.027897,0.016816,6.280866
0.020000,2.379966,24.728214,0.630099,2.462465,5.028248,0.017565,6.280664
0.020000,2.431226,24.728079,0.681360,2.563037,5.028615,0.018314,6.280451
0.020000,2.484499,24.727928,0.734632,2.663617,5.028996,0.019063,6.280230
0.020000,2.539782,24.727758,0.789916,2.764205,5.029392,0.019811,6.279999
0.020000,2.597078,24.727569,0.847212,2.864801,5.029803,0.020561,6.279758
0.020000,2.656386,24.727358,0.906520,2.965406,5.030230,0.021310,6.279507
0.020000,2.717706,24.727124,0.967841,3.066019,5.030671,0.022060,6.279246
0.020000,2.781038,24.726866,1.031173,3.166642,5.031127,0.022809,6.278976
0.020000,2.846383,24.726582,1.096519,3.267274,5.031598,0.023559,6.278694
0.020000,2.913741,24.726270,1.163877,3.367915,5.032084,0.024309,6.278403
0.020000,2.983111,24.725927,1.233249,3.468567,5.032586,0.025059,6.278101
0.020000,3.054495,24.725553,1.304633,3.569229,5.033102,0.025809,6.277788
0.020000,3.127892,24.725145,1.378031,3.669902,5.033633,0.026559,6.277464
0.020000,3.203302,24.724701,1.453443,3.770585,5.034179,0.027309,6.277129
0.020000,3.280726,24.724219,1.530868,3.871280,5.034740,0.028060,6.276783
0.020000,3.360164,24.723696,1.610308,3.971987,5.035316,0.028810,6.276425
0.020000,3.441616,24.723130,1.691762,4.072705,5.035908,0.029561,6.276055
0.020000,3.525083,24.722519,1.775231,4.173435,5.036514,0.030311,6.275674
0.020000,3.610564,24.721861,1.860715,4.274178,5.037135,0.031062,6.275281
0.020000,3.698059,24.721151,1.948213,4.374933,5.037771,0.031812,6.274875
0.020000,3.787570,24.720389,2.037727,4.475702,5.038423,0.032563,6.274457
0.020000,3.879096,24.719570,2.129257,4.576483,5.039089,0.033313,6.274026
0.020000,3.972638,24.718692,2.222802,4.677279,5.039770,0.034064,6.273582
0.020000,4.068195,24.717753,2.318364,4.778088,5.040466,0.034814,6.273125
0.020000,4.165768,24.716748,2.415942,4.878912,5.041178,0.035564,6.272654
0.020000,4.265357,24.715675,2.515537,4.979750,5.041904,0.036314,6.272170
0.020000,4.366963,24.714531,2.617150,5.080603,5.042645,0.037063,6.271672
0.020000,4.470585,24.713311,2.720779,5.181471,5.043402,0.037813,6.271160
0.020000,4.576224,24.712013,2.826426,5.282354,5.044173,0.038561,6.270633
0.020000,4.683880,24.710633,2.934091,5.383253,5.044959,0.039310,6.270092
0.020000,4.793554,24.709166,3.043774,5.484168,5.045760,0.040058,6.269536
0.020000,4.905245,24.707610,3.155476,5.585100,5.046576,0.040805,6.268965
0.020000,5.018954,24.705959,3.269197,5.686048,5.047407,0.041552,6.268378
0.020000,5.134681,24.704211,3.384938,5.787013,5.048253,0.042298,6.267776
0.020000,5.252426,24.702360,3.502698,5.887996,5.049114,0.043043,6.267158
0.020000,5.372190,24.700402,3.622477,5.988995,5.049990,0.043788,6.266523
0.020000,5.493973,24.698333,3.744278,6.090013,5.050880,0.044531,6.265872
0.020000,5.617775,24.696148,3.868099,6.191049,5.051786,0.045273,6.265204
0.020000,5.743596,24.693843,3.993941,6.292103,5.052706,0.046015,6.264519
0.020000,5.871436,24.691411,4.121804,6.393176,5.053641,0.046754,6.263816
0.020000,6.001296,24.688849,4.251690,6.494267,5.054591,0.047493,6.263096
0.020000,6.133176,24.686150,4.383597,6.595379,5.055556,0.048229,6.262357
0.020000,6.267076,24.683311,4.517527,6.696509,5.056535,0.048964,6.261600
0.020000,6.402996,24.680324,4.653481,6.797660,5.057529,0.049697,6.260825
0.020000,6.540937,24.677184,4.791457,6.898831,5.058537,0.050428,6.260030
0.020000,6.680899,24.673886,4.931458,7.000022,5.059561,0.051156,6.259216
0.020000,6.822881,24.670423,5.073482,7.101234,5.060598,0.051882,6.258382
0.020000,6.966885,24.666789,5.217532,7.202467,5.061650,0.052605,6.257529
0.020000,7.112910,24.662978,5.363606,7.303721,5.062717,0.053326,6.256654
0.020000,7.260956,24.658983,5.511706,7.404997,5.063798,0.054043,6.255759
0.020000,7.411023,24.654797,5.661832,7.506295,5.064893,0.054757,6.254843
0.020000,7.563112,24.650414,5.813984,7.607615,5.066002,0.055467,6.253906
0.020000,7.717223,24.645827,5.968163,7.708957,5.067126,0.056173,6.252946
0.020000,7.873356,24.641028,6.124370,7.810323,5.068263,0.056875,6.251965
0.020000,8.031309,24.636016,6.282402,7.901632,4.565465,-25.139933,6.250962
0.020000,8.190680,24.630797,6.441859,7.972803,3.558532,-50.346617,6.249940
0.020000,8.351065,24.625380,6.602335,8.023828,2.551293,-50.361976,6.248901
0.020000,8.512061,24.619773,6.763429,8.054703,1.543740,-50.377627,6.247848
0.020000,8.673266,24.613988,6.924738,8.065421,0.535871,-50.393468,6.246783
0.020000,8.834477,24.608031,7.086059,8.066057,0.031831,-25.201978,6.245708
0.020000,8.995694,24.601898,7.247393,8.066694,0.031820,-0.000559,6.244623
0.020000,9.156918,24.595590,7.408739,8.067330,0.031808,-0.000595,6.243527
0.020000,9.318146,24.589103,7.570098,8.067966,0.031795,-0.000631,6.242421
0.020000,9.479381,24.582437,7.731471,8.068601,0.031782,-0.000668,6.241305
0.020000,9.640620,24.575590,7.892855,8.069237,0.031768,-0.000705,6.240178
0.020000,9.801864,24.568559,8.054253,8.069872,0.031753,-0.000744,6.239041
0.020000,9.963113,24.561344,8.215663,8.070507,0.031737,-0.000784,6.237894
0.020000,10.124366,24.553942,8.377086,8.071141,0.031721,-0.000824,6.236736
0.020000,10.285623,24.546352,8.538521,8.071775,0.031704,-0.000865,6.235568
0.020000,10.446884,24.538572,8.699969,8.072409,0.031686,-0.000907,6.234390
0.020000,10.608148,24.530601,8.861430,8.073042,0.031667,-0.000950,6.233201
0.020000,10.769415,24.522437,9.022904,8.073675,0.031647,-0.000994,6.232002
0.020000,10.930684,24.514077,9.184390,8.074308,0.031626,-0.001039,6.230793
0.020000,11.091956,24.505522,9.345889,8.074940,0.031604,-0.001085,6.229573
0.020000,11.253230,24.496768,9.507400,8.075571,0.031582,-0.001132,6.228343
0.020000,11.414506,24.487814,9.668924,8.076202,0.031558,-0.001179,6.227103
0.020000,11.575783,24.478659,9.830461,8.076833,0.031533,-0.001228,6.225853
0.020000,11.737061,24.469301,9.992010,8.077463,0.031508,-0.001277,6.224592
0.020000,11.898340,24.459737,10.153572,8.078093,0.031481,-0.001327,6.223322
0.020000,12.059618,24.449967,10.315146,8.078722,0.031454,-0.001379,6.222040
0.020000,12.220897,24.439989,10.476733,8.079351,0.031425,-0.001431,6.220749
0.020000,12.382175,24.429802,10.638333,8.079978,0.031395,-0.001484,6.219448
0.020000,12.543452,24.419402,10.799945,8.080606,0.031365,-0.001538,6.218136
0.020000,12.704728,24.408789,10.961570,8.081232,0.031333,-0.001593,6.216814
0.020000,12.866002,24.397962,11.123207,8.081858,0.031300,-0.001649,6.215482
0.020000,13.027274,24.386918,11.284856,8.082484,0.031266,-0.001706,6.214140
0.020000,13.188544,24.375656,11.446519,8.083108,0.031230,-0.001763,6.212787
0.020000,13.349810,24.364174,11.608193,8.083732,0.031194,-0.001822,6.211424
0.020000,13.511073,24.352470,11.769880,8.084355,0.031156,-0.001882,6.210052
0.020000,13.672332,24.340544,11.931580,8.084978,0.031118,-0.001942,6.208669
0.020000,13.833587,24.328393,12.093292,8.085599,0.031077,-0.002004,6.207276
0.020000,13.994837,24.316015,12.255016,8.086220,0.031036,-0.002066,6.205873
0.020000,14.156082,24.303409,12.416753,8.086840,0.030994,-0.002130,6.204460
0.020000,14.317321,24.290574,12.578502,8.087459,0.030950,-0.002194,6.203036
0.020000,14.478554,24.277508,12.740264,8.088077,0.030905,-0.002259,6.201603
0.020000,14.639780,24.264208,12.902038,8.088694,0.030858,-0.002325,6.200160
0.020000,14.800999,24.250674,13.063824,8.089310,0.030810,-0.002393,6.198706
0.020000,14.962211,24.236904,13.225622,8.089925,0.030761,-0.002461,6.197243
0.020000,15.124841,24.222760,13.388866,8.162182,3.612813,179.102626,6.194528
0.020000,15.301474,24.205804,13.566311,8.872264,35.504130,1594.565846,6.180333
0.020000,15.478690,24.186187,13.744610,8.914947,2.134114,-1668.500815,6.165442
0.020000,15.656487,24.163755,13.923817,8.960315,2.268409,6.714751,6.149813
0.020000,15.834857,24.138343,14.103987,9.008531,2.410830,7.121060,6.133399
0.020000,16.013785,24.109771,14.285182,9.059758,2.561328,7.524900,6.116151
0.020000,16.193251,24.077848,14.467465,9.114151,2.719649,7.916054,6.098018
0.020000,16.373224,24.042370,14.650903,9.171856,2.885264,8.280719,6.078946
0.020000,16.553664,24.003118,14.835563,9.233002,3.057287,8.601156,6.058878
0.020000,16.734516,23.959858,15.021516,9.297690,3.234382,8.854765,6.037758
0.020000,16.915709,23.912342,15.208836,9.365983,3.414645,9.013124,6.015525
0.020000,17.097154,23.860309,15.397594,9.437892,3.595477,9.041596,5.992122
0.020000,17.278737,23.803484,15.587861,9.513361,3.773446,8.898492,5.967491
0.020000,17.460320,23.741579,15.779706,9.592244,3.944147,8.535053,5.941575
0.020000,17.641731,23.674299,15.973192,9.674285,4.102069,7.896071,5.914324
0.020000,17.822766,23.601344,16.168374,9.759095,4.240492,6.921148,5.885692
0.020000,18.003177,23.522412,16.365296,9.846124,4.351454,5.548112,5.855644
0.020000,18.182674,23.437208,16.563989,9.934640,4.425799,3.717232,5.824154
0.020000,18.360917,23.345452,16.764463,10.023708,4.453371,1.378591,5.791214
0.020000,18.537516,23.246886,16.966707,10.112175,4.423387,-1.499190,5.756833
0.020000,18.712028,23.141289,17.170680,10.198676,4.325034,-4.917643,5.721045
0.020000,18.883962,23.028490,17.376313,10.281642,4.148292,-8.837103,5.683905
0.020000,19.052779,22.908376,17.583500,10.359341,3.884976,-13.165800,5.645500
0.020000,19.217903,22.780911,17.792098,10.429940,3.529914,-17.753083,5.605946
0.020000,19.378734,22.646142,18.001930,10.491582,3.082130,-22.389187,5.565388
0.020000,19.534661,22.504210,18.212780,10.542499,2.545835,-26.814769,5.524000
0.020000,19.685082,22.355357,18.424402,10.581119,1.931009,-30.741300,5.481984
0.020000,19.829426,22.199917,18.636526,10.606187,1.253381,-33.881383,5.439560
0.020000,19.967169,22.038319,18.848863,10.616860,0.533680,-35.985066,5.396961
0.020000,20.097858,21.871068,19.061119,10.612784,-0.203827,-36.875362,5.354429
0.020000,20.221124,21.698733,19.273001,10.594117,-0.933333,-36.475315,5.312201
0.020000,20.336693,21.521922,19.484232,10.561522,-1.629740,-34.820345,5.270504
0.020000,20.444391,21.341266,19.694554,10.516107,-2.270789,-32.052410,5.229547
0.020000,20.544144,21.157395,19.903741,10.459332,-2.838747,-28.397940,5.189514
0.020000,20.635970,20.970920,20.111599,10.392903,-3.321437,-24.134474,5.150562
0.020000,20.719974,20.782418,20.317972,10.318653,-3.712513,-19.553827,5.112820
0.020000,20.796331,20.592418,20.522740,10.238431,-4.011092,-14.928944,5.076384
0.020000,20.865274,20.401399,20.725821,10.154013,-4.220885,-10.489628,5.041322
0.020000,20.927081,20.209780,20.927161,10.067032,-4.349061,-6.408818,5.007677
0.020000,20.982061,20.017923,21.126740,9.978931,-4.405056,-2.799720,4.975466
0.020000,21.030540,19.826137,21.324559,9.890941,-4.399464,0.279558,4.944688
0.020000,21.072857,19.634676,21.520640,9.804079,-4.343133,2.816555,4.915324
0.020000,21.109348,19.443749,21.715023,9.719149,-4.246483,4.832518,4.887342
0.020000,21.140348,19.253523,21.907759,9.636768,-4.119049,6.371680,4.860702
0.020000,21.166178,19.064128,22.098906,9.557383,-3.969239,7.490542,4.835354
0.020000,21.187151,18.875666,22.288532,9.481299,-3.804218,8.251017,4.811244
0.020000,21.203559,18.688208,22.476706,9.408700,-3.629931,8.714345,4.788316
0.020000,21.215682,18.501809,22.663500,9.339677,-3.451176,8.937758,4.766512
0.020000,21.223782,18.316501,22.848985,9.274242,-3.271727,8.972434,4.745773
0.020000,21.228101,18.132304,23.033232,9.212353,-3.094479,8.862445,4.726042
0.020000,21.228962,17.953621,23.211917,8.934255,-13.904869,-540.519509,4.710763
0.020000,21.228209,17.786580,23.378960,8.352177,-29.103928,-759.952983,4.705032
0.020000,21.226519,17.619796,23.545753,8.339612,-0.628247,1423.784060,4.699505
0.020000,21.223927,17.453276,23.712292,8.326984,-0.631405,-0.157877,4.694184
0.020000,21.220472,17.287026,23.878578,8.314301,-0.634155,-0.137536,4.689069
0.020000,21.216190,17.121050,24.044610,8.301570,-0.636530,-0.118740,4.684161
0.020000,21.211119,16.955352,24.210386,8.288799,-0.638559,-0.101462,4.679461
0.020000,21.205296,16.789934,24.375906,8.275993,-0.640273,-0.085670,4.674970
0.020000,21.198757,16.624800,24.541169,8.263159,-0.641699,-0.071325,4.670687
0.020000,21.191539,16.459952,24.706175,8.250302,-0.642867,-0.058381,4.666614
0.020000,21.183680,16.295391,24.870923,8.237426,-0.643803,-0.046788,4.662750
0.020000,21.175215,16.131119,25.035414,8.224535,-0.644533,-0.036491,4.659096
0.020000,21.166182,15.967135,25.199647,8.211634,-0.645081,-0.027433,4.655652
0.020000,21.156616,15.803439,25.363621,8.198724,-0.645472,-0.019554,4.652418
0.020000,21.146554,15.640033,25.527337,8.185810,-0.645728,-0.012790,4.649394
0.020000,21.136031,15.476914,25.690795,8.172892,-0.645870,-0.007077,4.646581
0.020000,21.125084,15.314082,25.853995,8.159974,-0.645917,-0.002348,4.643977
0.020000,21.113749,15.151536,26.016936,8.147056,-0.645887,0.001464,4.641584
0.020000,21.102060,14.989273,26.179619,8.134140,-0.645799,0.004427,4.639401
0.020000,21.090052,14.827293,26.342043,8.121227,-0.645667,0.006610,4.637428
0.020000,21.077762,14.665593,26.504210,8.108317,-0.645505,0.008082,4.635666
0.020000,21.065224,14.504171,26.666118,8.095410,-0.645327,0.008911,4.634113
