dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750067,22.271000,0.000200,0.020000,1.000000,50.000000,6.283185
0.020000,1.750863,22.271000,0.000996,0.039808,0.990424,-0.478805,6.283182
0.020000,1.752655,22.271000,0.002788,0.089569,2.488027,74.880153,6.283175
0.020000,1.755839,22.271000,0.005972,0.159234,3.483230,49.760132,6.283162
0.020000,1.760815,22.271000,0.010948,0.248802,4.478420,49.759507,6.283143
0.020000,1.767782,22.270999,0.017915,0.348322,4.975988,24.878403,6.283116
0.020000,1.776738,22.270999,0.026872,0.447840,4.975936,-0.002614,6.283080
0.020000,1.787686,22.270997,0.037819,0.547358,4.975868,-0.003361,6.283037
0.020000,1.800623,22.270995,0.050756,0.646874,4.975786,-0.004108,6.282987
0.020000,1.815551,22.270992,0.065684,0.746387,4.975689,-0.004854,6.282928
0.020000,1.832469,22.270987,0.082602,0.845899,4.975577,-0.005601,6.282861
0.020000,1.851377,22.270980,0.101510,0.945408,4.975450,-0.006348,6.282786
0.020000,1.872275,22.270971,0.122408,1.044914,4.975308,-0.007096,6.282704
0.020000,1.895164,22.270959,0.145297,1.144417,4.975151,-0.007843,6.282613
0.020000,1.920042,22.270943,0.170175,1.243917,4.974979,-0.008590,6.282514
0.020000,1.946910,22.270924,0.197043,1.343413,4.974793,-0.009337,6.282407
0.020000,1.975768,22.270899,0.225901,1.442904,4.974591,-0.010085,6.282291
0.020000,2.006616,22.270870,0.256749,1.542392,4.974374,-0.010832,6.282167
0.020000,2.039454,22.270834,0.289587,1.641875,4.974143,-0.011580,6.282035
0.020000,2.074281,22.270792,0.324414,1.741353,4.973896,-0.012328,6.281894
0.020000,2.111097,22.270742,0.361230,1.840825,4.973635,-0.013075,6.281745
0.020000,2.149903,22.270683,0.400036,1.940292,4.973358,-0.013823,6.281587
0.020000,2.190698,22.270614,0.440831,2.039754,4.973067,-0.014571,6.281420
0.020000,2.233482,22.270535,0.483615,2.139209,4.972760,-0.015320,6.281245
0.020000,2.278255,22.270444,0.528388,2.238658,4.972439,-0.016068,6.281060
0.020000,2.325017,22.270340,0.575150,2.338100,4.972103,-0.016816,6.280866
0.020000,2.373767,22.270222,0.623901,2.437535,4.971751,-0.017565,6.280664
0.020000,2.424507,22.270089,0.674640,2.536963,4.971385,-0.018314,6.280451
0.020000,2.477234,22.269939,0.727368,2.636383,4.971004,-0.019063,6.280230
0.020000,2.531950,22.269770,0.782084,2.735795,4.970608,-0.019812,6.279999
0.020000,2.588653,22.269583,0.838788,2.835199,4.970196,-0.020561,6.279758
0.020000,2.647345,22.269374,0.897480,2.934594,4.969770,-0.021311,6.279507
0.020000,2.708024,22.269143,0.958159,3.033981,4.969329,-0.022060,6.279246
0.020000,2.770691,22.268888,1.020827,3.133358,4.968873,-0.022810,6.278976
0.020000,2.835345,22.268607,1.085481,3.232726,4.968402,-0.023559,6.278694
0.020000,2.901986,22.268298,1.152123,3.332085,4.967916,-0.024309,6.278403
0.020000,2.970613,22.267959,1.220751,3.431433,4.967414,-0.025059,6.278101
0.020000,3.041228,22.267589,1.291367,3.530771,4.966898,-0.025809,6.277788
0.020000,3.113829,22.267186,1.363969,3.630098,4.966367,-0.026560,6.277464
0.020000,3.188416,22.266746,1.438557,3.729415,4.965821,-0.027310,6.277129
0.020000,3.264989,22.266269,1.515132,3.828720,4.965260,-0.028060,6.276783
0.020000,3.343547,22.265752,1.593692,3.928013,4.964683,-0.028811,6.276425
0.020000,3.424091,22.265193,1.674238,4.027295,4.964092,-0.029561,6.276055
0.020000,3.506620,22.264589,1.756769,4.126565,4.963486,-0.030312,6.275674
0.020000,3.591134,22.263937,1.841285,4.225822,4.962865,-0.031062,6.275281
0.020000,3.677633,22.263236,1.927787,4.325067,4.962228,-0.031813,6.274875
0.020000,3.766115,22.262482,2.016273,4.424298,4.961577,-0.032564,6.274457
0.020000,3.856582,22.261673,2.106743,4.523517,4.960911,-0.033314,6.274026
0.020000,3.949032,22.260806,2.199198,4.622721,4.960230,-0.034064,6.273582
0.020000,4.043466,22.259877,2.293636,4.721912,4.959533,-0.034815,6.273125
0.020000,4.139883,22.258885,2.390058,4.821088,4.958822,-0.035565,6.272654
0.020000,4.238282,22.257825,2.488463,4.920250,4.958096,-0.036315,6.272170
0.020000,4.338664,22.256694,2.588850,5.019397,4.957354,-0.037064,6.271672
0.020000,4.441027,22.255489,2.691221,5.118529,4.956598,-0.037814,6.271160
0.020000,4.545372,22.254207,2.795574,5.217646,4.955827,-0.038563,6.270633
0.020000,4.651698,22.252843,2.901909,5.316747,4.955041,-0.039311,6.270092
0.020000,4.760005,22.251395,3.010226,5.415831,4.954239,-0.040059,6.269536
0.020000,4.870293,22.249858,3.120524,5.514900,4.953423,-0.040807,6.268965
0.020000,4.982560,22.248229,3.232803,5.613952,4.952592,-0.041554,6.268378
0.020000,5.096806,22.246503,3.347062,5.712987,4.951746,-0.042300,6.267776
0.020000,5.213032,22.244676,3.463302,5.812004,4.950885,-0.043045,6.267158
0.020000,5.331236,22.242743,3.581522,5.911004,4.950010,-0.043790,6.266523
0.020000,5.451419,22.240702,3.701722,6.009987,4.949119,-0.044533,6.265872
0.020000,5.573579,22.238546,3.823901,6.108951,4.948213,-0.045276,6.265204
0.020000,5.697716,22.236271,3.948059,6.207897,4.947293,-0.046017,6.264519
0.020000,5.823830,22.233872,4.074196,6.306824,4.946358,-0.046757,6.263816
0.020000,5.951919,22.231345,4.202310,6.405732,4.945408,-0.047495,6.263096
0.020000,6.081985,22.228684,4.332403,6.504621,4.944443,-0.048232,6.262357
